rebounds,turnoverHeld,centrePassToGoalPerc,penalties,deflectionWithNoGain,generalPlayTurnovers,interceptPassThrown,gain,points,goalMisses,blocked,deflectionWithGain,goalAssists,tossUpWin,centrePassReceives,obstructionPenalties,feeds,playerId,goals,offsides,secondPhaseReceive,badPasses,period,breaks,blocks,badHands,missedGoalTurnover,squadId,startingPositionCode,possessionChanges,goalAttempts,contactPenalties,quartersPlayed,minutesPlayed,feedWithAttempt,unforcedTurnovers,pickups,currentPositionCode,gainToGoalPerc,intercepts,matchId,periodId
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030095,0,0,0,0,4,0,0,0,0,9490,I,0,0,0,0,0,0,0,0,I,0,0,119960101,4
0,0,0,1,1,0,0,0,1,3,0,0,2,0,3,0,2,1030574,1,0,1,0,4,0,0,0,3,9492,GA,3,4,1,1,12,2,1,0,I,0,0,119960101,4
0,0,0,6,0,0,0,1,0,0,0,0,1,0,2,0,1,1030573,0,0,4,0,4,0,0,0,0,9492,C,0,0,6,1,15,1,0,0,C,0,1,119960101,4
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1030572,0,0,1,0,4,0,0,0,0,9492,I,0,0,1,1,2,0,0,0,WD,0,0,119960101,4
0,0,0,0,0,3,2,0,0,0,0,0,2,0,4,0,7,1030571,0,0,1,1,4,0,0,0,0,9492,I,3,0,0,1,15,4,1,1,WA,0,0,119960101,4
0,0,0,3,3,1,1,0,0,0,0,0,0,0,2,1,0,1030569,0,0,1,0,4,0,0,0,0,9492,WD,1,0,2,1,15,0,0,2,GD,0,0,119960101,4
0,0,0,0,0,2,0,0,4,2,0,0,1,0,1,0,2,1030568,4,0,2,0,4,0,0,1,1,9492,GD,3,6,0,1,14,3,2,0,GA,0,0,119960101,4
0,0,0,5,1,0,0,3,0,0,0,1,0,0,0,2,0,1030567,0,0,0,0,4,0,0,0,0,9492,I,0,0,3,1,12,0,0,0,I,0,2,119960101,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030565,0,0,0,0,4,0,0,0,0,9492,GS,0,0,0,0,0,0,0,0,I,0,0,119960101,4
0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,3,1030564,0,0,2,0,4,0,0,0,0,9492,WA,1,0,1,1,12,2,0,0,I,0,0,119960101,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030563,0,0,0,0,4,0,0,0,0,9492,I,0,0,0,0,0,0,0,0,I,0,0,119960101,4
0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1030562,2,0,0,0,4,0,0,0,0,9492,I,0,2,1,1,2,0,0,0,GS,0,0,119960101,4
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1030561,0,0,0,0,4,0,0,0,0,9492,GK,0,0,3,1,2,0,0,0,GK,0,0,119960101,4
2,0,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,1030109,0,0,1,0,4,0,0,0,0,9490,GD,0,0,4,1,15,0,0,0,GD,0,1,119960101,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030108,0,0,0,0,4,0,0,0,0,9490,I,0,0,0,0,0,0,0,0,I,0,0,119960101,4
0,0,0,1,2,1,1,0,0,0,0,0,6,0,0,0,11,1030107,0,0,1,0,4,0,0,0,0,9490,C,1,0,1,1,15,7,0,2,C,0,0,119960101,4
0,0,0,2,0,2,1,0,0,0,0,0,6,0,3,0,8,1030106,0,0,2,0,4,0,0,1,0,9490,I,2,0,2,1,15,7,1,0,WA,0,0,119960101,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030105,0,0,0,0,4,0,0,0,0,9490,WA,0,0,0,0,0,0,0,0,I,0,0,119960101,4
1,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,1030104,7,0,0,0,4,0,0,0,0,9490,GS,0,7,0,1,8,0,0,0,I,0,0,119960101,4
0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,1,1030102,2,0,0,0,4,0,0,0,1,9490,I,1,4,0,1,6,1,0,0,GS,0,0,119960101,4
0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1030101,0,0,1,0,4,0,0,0,0,9490,WD,0,0,0,1,15,0,0,0,WD,0,2,119960101,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030099,0,0,0,0,4,0,0,0,0,9490,I,0,0,0,0,0,0,0,0,I,0,0,119960101,4
1,0,0,3,1,0,0,2,0,0,0,0,0,0,0,1,0,1030097,0,0,0,0,4,0,0,0,0,9490,GK,0,0,2,1,15,0,0,0,GK,0,1,119960101,4
0,0,0,1,1,2,1,0,7,1,0,0,2,0,8,0,3,1030096,7,0,3,0,4,0,0,0,0,9490,GA,2,8,1,1,15,2,1,0,GA,0,0,119960101,4
