rebounds,netPoints,centrePassToGoalPerc,penalties,deflectionWithNoGain,generalPlayTurnovers,goal_from_zone2,goal_from_zone1,interceptPassThrown,gain,points,goalMisses,blocked,deflectionWithGain,goalAssists,tossUpWin,attempt_from_zone2,centrePassReceives,obstructionPenalties,attempt_from_zone1,feeds,playerId,goals,offsides,badPasses,goal2,goal1,period,breaks,blocks,badHands,missedGoalTurnover,squadId,startingPositionCode,possessionChanges,goalAttempts,deflections,contactPenalties,quartersPlayed,minutesPlayed,feedWithAttempt,unforcedTurnovers,pickups,attempts2,attempts1,currentPositionCode,gainToGoalPerc,intercepts,matchId,periodId
0,-1.0,0,4,0,1,0,0,1,1,0,0,0,1,0,0,0,3,1,0,0,993358,0,0,0,0,0,4,0,0,0,0,8118,GD,1,0,1,3,1,15,0,0,0,0,0,GD,0,0,113911404,4
0,2.5,0,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1001356,0,0,0,0,0,4,0,0,0,0,8118,WD,1,0,2,2,1,15,0,0,0,0,0,WD,0,0,113911404,4
0,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,998408,0,0,0,0,0,4,0,0,0,0,810,C,1,0,1,0,1,15,0,0,0,0,0,WD,0,0,113911404,4
0,10.0,0,3,0,1,1,0,0,0,2,0,0,0,5,0,1,6,2,0,6,994215,1,0,0,1,0,4,0,0,0,0,810,I,1,1,0,1,1,11,5,1,0,1,0,GA,0,0,113911404,4
0,9.0,0,2,0,1,0,0,0,0,0,0,0,0,7,0,0,3,1,0,9,1000231,0,0,0,0,0,4,0,0,0,0,810,WA,1,0,0,1,1,15,7,0,0,0,0,WA,0,0,113911404,4
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013638,0,0,0,0,0,4,0,0,0,0,8118,I,0,0,0,0,0,0,0,0,0,0,0,I,0,0,113911404,4
0,-2.5,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,2,1007298,1,0,0,0,1,4,0,0,0,0,810,GA,1,1,0,0,1,3,1,1,0,0,1,I,0,0,113911404,4
0,9.0,0,0,0,3,1,3,1,0,5,1,0,0,4,0,1,2,0,4,4,1019169,4,0,1,1,3,4,0,0,0,1,8118,GA,4,5,0,0,1,15,4,3,2,1,4,GA,0,0,113911404,4
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004510,0,0,0,0,0,4,0,0,0,0,810,GK,0,0,0,0,0,0,0,0,0,0,0,I,0,0,113911404,4
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013629,0,0,0,0,0,4,0,0,0,0,8118,I,0,0,0,0,0,0,0,0,0,0,0,I,0,0,113911404,4
0,-2.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,991899,0,0,0,0,0,4,0,0,0,0,8118,GK,0,0,0,2,1,15,0,0,0,0,0,GK,0,0,113911404,4
0,20.5,0,3,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,80343,0,0,0,0,0,4,0,0,0,0,810,GD,1,0,1,3,1,15,0,0,1,0,0,GK,0,2,113911404,4
0,-2.5,0,7,-1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,80534,0,0,0,0,0,4,0,0,0,0,810,WD,1,0,0,6,1,15,0,1,0,0,0,GD,0,0,113911404,4
0,2.5,0,0,0,2,1,6,0,0,8,0,0,0,1,0,1,0,0,6,2,80150,7,0,0,1,6,4,0,0,1,0,8118,GS,2,7,0,0,1,15,2,2,0,1,6,GS,0,0,113911404,4
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80470,0,0,0,0,0,4,0,0,0,0,8118,I,0,0,0,0,0,0,0,0,0,0,0,I,0,0,113911404,4
0,8.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,80473,0,0,0,0,0,4,0,0,0,0,810,I,0,0,0,2,1,15,0,0,0,0,0,C,0,0,113911404,4
0,18.0,0,1,0,1,0,12,0,0,12,0,0,0,1,0,0,0,1,12,2,80826,12,0,0,0,12,4,0,0,1,0,810,GS,1,12,0,0,1,15,1,1,0,0,12,GS,0,0,113911404,4
0,8.5,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,80701,0,0,1,0,0,4,0,0,0,0,8118,C,1,0,0,1,1,15,3,1,1,0,0,C,0,0,113911404,4
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014130,0,0,0,0,0,4,0,0,0,0,810,I,0,0,0,0,0,0,0,0,0,0,0,I,0,0,113911404,4
0,27.0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,0,6,0,0,6,995217,0,0,0,0,0,4,0,0,0,0,8118,WA,0,0,1,1,1,15,3,0,0,0,0,WA,0,1,113911404,4
