rebounds,netPoints,centrePassToGoalPerc,penalties,deflectionWithNoGain,generalPlayTurnovers,goal_from_zone2,goal_from_zone1,interceptPassThrown,gain,points,goalMisses,blocked,deflectionWithGain,goalAssists,tossUpWin,attempt_from_zone2,centrePassReceives,obstructionPenalties,attempt_from_zone1,feeds,playerId,goals,offsides,badPasses,goal2,goal1,period,breaks,blocks,badHands,missedGoalTurnover,squadId,startingPositionCode,possessionChanges,goalAttempts,deflections,contactPenalties,quartersPlayed,minutesPlayed,feedWithAttempt,unforcedTurnovers,pickups,attempts2,attempts1,currentPositionCode,gainToGoalPerc,intercepts,matchId,periodId
0,4.5,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,993358,0,0,1,0,0,2,0,0,0,0,8118,GD,1,0,1,4,1,15,0,1,1,0,0,GD,0,0,113911404,2
0,4.5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1001356,0,0,0,0,0,2,0,0,0,0,8118,WD,0,0,1,3,1,15,0,0,0,0,0,WD,0,0,113911404,2
0,-1.5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,998408,0,0,1,0,0,2,0,0,0,0,810,C,1,0,0,2,1,15,0,1,0,0,0,C,0,0,113911404,2
0,12.5,0,2,1,2,0,1,0,0,1,2,0,0,8,0,1,8,0,2,11,994215,1,1,1,0,1,2,0,0,0,0,810,GA,2,3,1,2,1,15,8,2,0,1,2,GA,0,0,113911404,2
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000231,0,0,0,0,0,2,0,0,0,0,810,I,0,0,0,0,0,0,0,0,0,0,0,I,0,0,113911404,2
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013638,0,0,0,0,0,2,0,0,0,0,8118,I,0,0,0,0,0,0,0,0,0,0,0,I,0,0,113911404,2
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007298,0,0,0,0,0,2,0,0,0,0,810,I,0,0,0,0,0,0,0,0,0,0,0,I,0,0,113911404,2
0,12.0,0,1,0,1,1,9,0,0,11,2,0,0,0,0,2,7,1,10,1,1019169,10,0,0,1,9,2,0,0,0,2,8118,GA,3,12,0,0,1,15,0,2,0,2,10,GA,0,0,113911404,2
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004510,0,0,0,0,0,2,0,0,0,0,810,I,0,0,0,0,0,0,0,0,0,0,0,I,0,0,113911404,2
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013629,0,0,0,0,0,2,0,0,0,0,8118,I,0,0,0,0,0,0,0,0,0,0,0,I,0,0,113911404,2
0,3.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,991899,0,0,0,0,0,2,0,0,0,0,8118,GK,0,0,1,1,1,15,0,0,0,0,0,GK,0,0,113911404,2
1,7.0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,80343,0,0,0,0,0,2,0,0,0,0,810,GK,0,0,1,5,1,15,0,0,0,0,0,GK,0,0,113911404,2
0,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80534,0,0,0,0,0,2,0,0,0,0,810,WD,0,0,0,1,1,15,0,0,1,0,0,WD,0,0,113911404,2
0,27.0,0,0,0,0,3,5,0,0,11,0,0,0,2,0,3,0,0,5,2,80150,8,0,0,3,5,2,0,0,0,0,8118,GS,0,8,0,0,1,15,2,0,1,3,5,GS,0,0,113911404,2
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80470,0,0,0,0,0,2,0,0,0,0,8118,I,0,0,0,0,0,0,0,0,0,0,0,I,0,0,113911404,2
0,19.5,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,6,0,0,9,80473,0,0,1,0,0,2,0,0,0,0,810,WA,1,0,0,1,1,15,4,1,2,0,0,WA,0,0,113911404,2
2,32.5,0,3,1,1,1,12,0,0,14,0,0,0,0,0,1,0,3,12,2,80826,13,0,0,1,12,2,0,0,1,0,810,GS,1,13,1,0,1,15,0,1,1,1,12,GS,0,0,113911404,2
0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,80701,0,0,0,0,0,2,0,0,0,0,8118,C,0,0,0,0,1,15,7,0,0,0,0,C,0,0,113911404,2
0,-13.0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1014130,0,0,0,0,0,2,0,0,2,0,810,GD,2,0,1,1,1,15,0,2,0,0,0,GD,0,0,113911404,2
0,19.5,0,0,1,1,0,0,0,0,0,0,0,0,8,0,0,4,0,0,13,995217,0,0,0,0,0,2,0,0,1,0,8118,WA,1,0,1,0,1,15,9,1,0,0,0,WA,0,0,113911404,2
