rebounds,netPoints,centrePassToGoalPerc,penalties,deflectionWithNoGain,generalPlayTurnovers,goal_from_zone2,goal_from_zone1,interceptPassThrown,gain,points,goalMisses,blocked,deflectionWithGain,goalAssists,tossUpWin,attempt_from_zone2,centrePassReceives,obstructionPenalties,attempt_from_zone1,feeds,playerId,goals,offsides,badPasses,goal2,goal1,period,breaks,blocks,badHands,missedGoalTurnover,squadId,startingPositionCode,possessionChanges,goalAttempts,deflections,contactPenalties,quartersPlayed,minutesPlayed,feedWithAttempt,unforcedTurnovers,pickups,attempts2,attempts1,currentPositionCode,gainToGoalPerc,intercepts,matchId,periodId
0,-9.0,0,6,0,1,0,0,1,0,0,0,0,0,1,0,0,2,2,0,1,993358,0,0,0,0,0,1,1,0,0,0,8118,GD,1,0,0,4,1,15,1,0,0,0,0,GD,0,0,113911404,1
0,9.0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1001356,0,0,0,0,0,1,0,0,0,0,8118,WD,0,0,2,1,1,15,0,0,0,0,0,WD,0,0,113911404,1
0,20.0,0,1,2,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,5,998408,0,0,0,0,0,1,0,0,0,0,810,C,1,0,2,1,1,15,4,0,1,0,0,C,0,0,113911404,1
0,64.5,0,0,0,1,3,3,0,2,9,1,0,0,6,0,3,10,0,4,9,994215,6,0,0,3,3,1,0,0,0,0,810,GA,1,7,0,0,1,15,6,1,3,3,4,GA,0,2,113911404,1
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000231,0,0,0,0,0,1,0,0,0,0,810,I,0,0,0,0,0,0,0,0,0,0,0,I,0,0,113911404,1
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013638,0,0,0,0,0,1,0,0,0,0,8118,I,0,0,0,0,0,0,0,0,0,0,0,I,0,0,113911404,1
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007298,0,0,0,0,0,1,0,0,0,0,810,I,0,0,0,0,0,0,0,0,0,0,0,I,0,0,113911404,1
0,12.5,0,0,0,1,1,7,1,0,9,2,0,0,4,0,2,6,0,8,5,1019169,8,0,0,1,7,1,0,0,0,1,8118,GA,2,10,0,0,1,15,4,1,0,2,8,GA,0,0,113911404,1
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004510,0,0,0,0,0,1,0,0,0,0,810,I,0,0,0,0,0,0,0,0,0,0,0,I,0,0,113911404,1
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013629,0,0,0,0,0,1,0,0,0,0,8118,I,0,0,0,0,0,0,0,0,0,0,0,I,0,0,113911404,1
0,2.5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,991899,0,0,0,0,0,1,0,0,0,0,8118,GK,0,0,1,2,1,15,0,0,0,0,0,GK,0,0,113911404,1
0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80343,0,0,0,0,0,1,0,1,0,0,810,GK,0,0,0,0,1,15,0,0,0,0,0,GK,0,0,113911404,1
0,4.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80534,0,0,0,0,0,1,1,0,0,0,810,WD,0,0,1,1,1,15,0,0,0,0,0,WD,0,0,113911404,1
1,32.0,0,0,0,0,0,10,0,0,10,1,0,0,2,0,0,0,0,11,2,80150,10,0,0,0,10,1,0,0,0,0,8118,GS,0,11,0,0,1,15,2,0,1,0,11,GS,0,0,113911404,1
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80470,0,0,0,0,0,1,0,0,0,0,8118,I,0,0,0,0,0,0,0,0,0,0,0,I,0,0,113911404,1
0,30.5,0,2,0,0,0,0,0,0,0,0,0,0,11,0,0,6,0,0,16,80473,0,0,0,0,0,1,0,0,0,0,810,WA,0,0,0,2,1,15,11,0,0,0,0,WA,0,0,113911404,1
0,40.0,0,0,0,0,0,16,0,1,16,0,0,1,0,0,0,0,0,16,0,80826,16,0,0,0,16,1,0,0,0,0,810,GS,0,16,1,0,1,15,0,0,0,0,16,GS,0,0,113911404,1
0,28.0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,5,80701,0,0,0,0,0,1,0,0,0,0,8118,C,1,0,0,0,1,15,4,0,2,0,0,C,0,1,113911404,1
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014130,0,0,0,0,0,1,1,0,0,0,810,GD,0,0,0,0,1,15,0,0,0,0,0,GD,0,0,113911404,1
0,29.5,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,13,995217,0,0,0,0,0,1,0,0,0,0,8118,WA,0,0,1,0,1,15,7,0,0,0,0,WA,0,0,113911404,1
