id,name,regulationPeriodLength,regulationPeriods,rounds,season,extraTimePeriodLength,cleaned_name,league_season
11666,2022 Super Netball Finals,900,4,3,2022,,Super Netball Finals,Super Netball Finals (2022)
11705,2022 Harvey Norman All-Stars,2400,2,1,2022,,Harvey Norman All-Stars,Harvey Norman All-Stars (2022)
11688,2022 Telstra NRL Premiership,2400,2,25,2022,,Telstra NRL Premiership,Telstra NRL Premiership (2022)
11689,2022 Telstra NRL Finals,2400,2,4,2022,,Telstra NRL Finals,Telstra NRL Finals (2022)
11690,2022 State of Origin,2400,2,1,2022,,State of Origin,State of Origin (2022)
11715,2022 NRLW,2400,2,5,2022,,NRLW,NRLW (2022)
11716,2022 State of Origin Womens,2400,2,1,2022,,State of Origin Womens,State of Origin Womens (2022)
11717,2022 NRLW Finals,2400,2,2,2022,,NRLW Finals,NRLW Finals (2022)
11706,2022 #TeamGirls Cup A,900,4,3,2022,,#TeamGirls Cup A,#TeamGirls Cup A (2022)
11707,2022 #TeamGirls Cup B,900,4,3,2022,,#TeamGirls Cup B,#TeamGirls Cup B (2022)
11708,2022 #TeamGirls Cup Finals,900,4,1,2022,,#TeamGirls Cup Finals,#TeamGirls Cup Finals (2022)
11805,2022 National Netball League,900,4,9,2022,,National Netball League,National Netball League (2022)
11856,2022 National Netball League,900,4,1,2022,,National Netball League,National Netball League (2022)
11895,2022 Cadbury Netball Series,900,4,4,2022,,Cadbury Netball Series,Cadbury Netball Series (2022)
11915,2022 Australian Netball Championships,900,4,5,2022,,Australian Netball Championships,Australian Netball Championships (2022)
11916,2022 Australian Netball Championships Finals,900,4,2,2022,,Australian Netball Championships Finals,Australian Netball Championships Finals (2022)
11925,2022B NRLW,2400,2,5,2022,,2022B NRLW,2022B NRLW (2022)
11926,2022B NRLW Finals,2400,2,2,2022,,2022B NRLW Finals,2022B NRLW Finals (2022)
11946,2022 Constellation Cup,900,4,1,2022,,Constellation Cup,Constellation Cup (2022)
11947,2022 England Series,900,4,1,2022,,England Series,England Series (2022)
11955,2022 Taini Jamison Trophy,900,4,1,2022,,Taini Jamison Trophy,Taini Jamison Trophy (2022)
11935,2022 NWC Regional Qualifiers,900,4,5,2022,,NWC Regional Qualifiers,NWC Regional Qualifiers (2022)
11936,2022 NWC Regional Qualifiers Finals,900,4,3,2022,,NWC Regional Qualifiers Finals,NWC Regional Qualifiers Finals (2022)
11985,2022 Netball NZ Open Champs,900,4,4,2022,,Netball NZ Open Champs,Netball NZ Open Champs (2022)
11875,2023 ANZ Premiership,900,4,12,2023,,ANZ Premiership,ANZ Premiership (2023)
11876,2023 ANZ Premiership Finals,900,4,2,2023,,ANZ Premiership Finals,ANZ Premiership Finals (2023)
11995,2022 Australia Men's v NZ,900,4,1,2022,,Australia Men's v NZ,Australia Men's v NZ (2022)
11996,2022 Australia Men's v England,900,4,1,2022,,Australia Men's v England,Australia Men's v England (2022)
12035,2022 NZ Secondary Schools Champs,900,4,4,2022,,NZ Secondary Schools Champs,NZ Secondary Schools Champs (2022)
12015,2022 FAST5 - World Netball Series,360,4,5,2022,,FAST5 - World Netball Series,FAST5 - World Netball Series (2022)
