tries,runsDummyHalfMetres,sinBins,onReports,runsHitupMetres,tryAssists,penaltyGoalAttempts,points,conversionsUnsuccessful,possessions,tackleds,kickMetres,kicksGeneralPlay,tackles,tacklesIneffective,handlingErrors,sentOffs,runsDummyHalf,squadId,offloads,bombKicksCaught,runsKickReturn,runsHitup,fieldGoalAttempts,conversionAttempts,penaltiesConceded,postContactMetres,position,errors,goalLineDropouts,fortyTwenty,conversions,tryDebits,missedTackles,penaltyGoalsUnsuccessful,kicksCaught,metresGained,lineBreaks,tackleBreaks,trySaves,passes,runMetres,fieldGoalsUnsuccessful,lineBreakAssists,runsNormalMetres,runsNormal,runsKickReturnMetres,playerId,jumperNumber,fieldGoals,penaltyGoals,runs,shortDisplayName,firstname,surname,displayName,squadName,homeId,awayId,opponent,round,fixtureId,sportId,matchId
0,0,0,0,0,0,0,0,0,2,2,0,0,12,0,0,0,0,9269,0,0,0,1,0,0,0,0,Interchange,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,1025351,17,0,0,2,"Power, S",Shaniah,Power,S.Power,Gold Coast Titans,9266,9269,St George-Illawarra Dragons,1,11715,4,117150101
0,0,0,0,0,0,0,0,0,11,7,0,0,15,0,0,0,1,9269,0,0,0,2,0,0,0,0,Centre,1,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,3,0,1025349,18,0,0,6,"Dam, L",Lauren,Dam,L.Dam,Gold Coast Titans,9266,9269,St George-Illawarra Dragons,1,11715,4,117150101
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9269,0,0,0,0,0,0,0,0,Interchange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025234,19,0,0,0,"Ngatupuna, A",April,Ngatupuna,A.Ngatupuna,Gold Coast Titans,9266,9269,St George-Illawarra Dragons,1,11715,4,117150101
0,0,0,0,0,1,0,0,0,25,15,0,2,5,0,0,0,0,9266,0,0,3,3,0,0,0,0,Fullback,1,0,0,0,0,3,0,0,0,1,7,0,7,0,0,1,0,11,0,1025257,1,0,0,17,"Tonegato, E",Emma,Tonegato,E.Tonegato,St George-Illawarra Dragons,9266,9269,Gold Coast Titans,1,11715,4,117150101
2,0,0,0,0,0,0,8,0,12,7,0,0,5,1,0,0,1,9266,0,1,4,2,0,0,0,0,Wing,0,0,0,0,0,2,0,2,0,2,1,0,3,0,0,0,0,2,0,1025273,2,0,0,9,"Berry, T",Teagan,Berry,T.Berry,St George-Illawarra Dragons,9266,9269,Gold Coast Titans,1,11715,4,117150101
0,0,0,0,0,0,0,0,0,16,8,0,0,12,1,0,0,1,9266,0,0,0,0,0,0,1,0,Centre,1,0,0,0,0,3,0,0,0,0,2,0,8,0,0,0,0,6,0,1025259,3,0,0,7,"Chapman, J",Jaime,Chapman,J.Chapman,St George-Illawarra Dragons,9266,9269,Gold Coast Titans,1,11715,4,117150101
0,0,0,0,0,1,0,0,0,9,5,0,0,16,1,1,0,1,9266,0,0,0,1,0,0,0,0,Centre,1,0,0,0,0,1,0,0,0,0,2,0,3,0,0,1,0,3,0,1025264,4,0,0,5,"McGregor, P",Page,McGregor,P.McGregor,St George-Illawarra Dragons,9266,9269,Gold Coast Titans,1,11715,4,117150101
1,0,0,0,0,0,0,4,0,13,8,0,0,12,0,0,0,0,9266,0,1,0,6,0,0,0,0,Wing,3,0,0,0,0,2,0,1,0,1,1,0,2,0,0,0,0,2,0,1025222,5,0,0,8,"Bartlett, M",Madison,Bartlett,M.Bartlett,St George-Illawarra Dragons,9266,9269,Gold Coast Titans,1,11715,4,117150101
0,0,0,0,0,0,0,0,0,29,8,0,0,12,0,0,0,0,9266,0,1,1,0,0,0,0,0,Five-Eighth,0,0,0,0,0,1,0,2,0,0,1,0,21,0,0,0,0,7,0,1025272,6,0,0,8,"Fuimaono, T",Taliah,Fuimaono,T.Fuimaono,St George-Illawarra Dragons,9266,9269,Gold Coast Titans,1,11715,4,117150101
0,0,0,0,0,0,0,4,2,40,4,0,8,6,1,0,0,0,9266,1,0,0,0,0,4,0,0,Halfback,2,0,0,2,0,3,0,0,0,0,4,0,25,0,0,0,0,9,0,1025266,7,0,0,9,"Pearson, R",Rachael,Pearson,R.Pearson,St George-Illawarra Dragons,9266,9269,Gold Coast Titans,1,11715,4,117150101
0,0,0,0,0,1,0,0,0,14,10,0,0,13,1,0,0,0,9266,2,0,0,12,0,0,0,0,Prop,1,0,0,0,0,3,0,0,0,0,3,0,1,0,0,1,0,0,0,1025256,8,0,0,12,"Albert, E",Elsie,Albert,E.Albert,St George-Illawarra Dragons,9266,9269,Gold Coast Titans,1,11715,4,117150101
0,0,0,0,0,0,0,0,0,34,9,0,0,22,3,0,0,3,9266,2,0,0,4,0,0,0,0,Hooker,0,0,0,0,0,3,0,0,0,0,2,0,23,0,0,0,0,7,0,1025262,9,0,0,14,"Davis, K",Keeley,Davis,K.Davis,St George-Illawarra Dragons,9266,9269,Gold Coast Titans,1,11715,4,117150101
0,0,0,0,0,0,0,0,0,18,11,0,0,16,1,0,0,0,9266,0,0,0,9,0,0,0,0,Prop,2,0,0,0,0,2,0,0,0,0,4,0,5,0,0,0,0,1,0,1025263,10,0,0,10,"Apps, K",Kezie,Apps,K.Apps,St George-Illawarra Dragons,9266,9269,Gold Coast Titans,1,11715,4,117150101
0,0,0,0,0,0,0,0,0,11,9,0,0,14,0,0,0,0,9266,0,0,2,1,0,0,0,0,Second Row,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,6,0,1025271,11,0,0,9,"Holmes, T",Talei,Holmes,T.Holmes,St George-Illawarra Dragons,9266,9269,Gold Coast Titans,1,11715,4,117150101
0,0,0,0,0,0,0,0,0,12,8,0,0,18,1,0,0,0,9266,0,0,0,7,0,0,0,0,Second Row,1,0,0,0,0,3,0,0,0,0,2,0,3,0,0,0,0,1,0,1025268,12,0,0,8,"Bent, S",Shaylee,Bent,S.Bent,St George-Illawarra Dragons,9266,9269,Gold Coast Titans,1,11715,4,117150101
0,0,0,0,0,0,0,0,0,14,10,0,1,18,1,0,0,0,9266,1,0,0,11,0,0,0,0,Lock,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,1025258,13,0,0,12,"Wheeler, H",Holli,Wheeler,H.Wheeler,St George-Illawarra Dragons,9266,9269,Gold Coast Titans,1,11715,4,117150101
1,0,0,0,0,0,0,4,0,90,6,0,0,20,0,0,0,7,9266,0,0,0,0,0,0,0,0,Interchange,1,0,0,0,0,7,0,0,0,1,1,0,82,0,0,1,0,2,0,1025265,14,0,0,9,"Dodd, Q",Quincy,Dodd,Q.Dodd,St George-Illawarra Dragons,9266,9269,Gold Coast Titans,1,11715,4,117150101
0,0,0,0,0,0,0,0,0,12,12,0,0,10,2,0,0,0,9266,0,0,1,8,0,0,1,0,Interchange,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1026835,15,0,0,12,"House, K",Kody,House,K.House,St George-Illawarra Dragons,9266,9269,Gold Coast Titans,1,11715,4,117150101
0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,9266,0,0,0,1,0,0,1,0,Interchange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025274,16,0,0,1,"Dymock, T",Tegan,Dymock,T.Dymock,St George-Illawarra Dragons,9266,9269,Gold Coast Titans,1,11715,4,117150101
0,0,0,0,0,0,0,0,0,4,4,0,0,2,0,0,0,0,9266,0,0,0,4,0,0,0,0,Interchange,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1025260,17,0,0,4,"Williams, J",Janelle,Williams,J.Williams,St George-Illawarra Dragons,9266,9269,Gold Coast Titans,1,11715,4,117150101
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9266,0,0,0,0,0,0,0,0,Interchange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025267,18,0,0,0,"Targett, R",Renee,Targett,R.Targett,St George-Illawarra Dragons,9266,9269,Gold Coast Titans,1,11715,4,117150101
