periodSecs,awaySquadName,matchType,homeSquadId,homeSquadShortCode,homeSquadNickname,matchStatus,roundNumber,homeSquadName,awaySquadNickname,venueId,awaySquadId,venueCode,localStartTime,matchId,homeSquadScore,period,finalCode,periodCompleted,finalShortCode,awaySquadScore,venueName,utcStartTime,awaySquadCode,homeSquadCode,awaySquadShortCode,matchNumber,sportId,fixtureId
930,Queensland Firebirds,H,801,THU,Thunderbirds,complete,8,Adelaide Thunderbirds,Firebirds,812,807,ETS,2009-05-24T14:00:00+09:30,80050802,51,4,,4,,50,Netball SA Stadium,2009-05-24T04:30:00Z,FIR,THU,FIR,2,8,8005
901,Avis WBOP Magic,H,808,STE,Steel,complete,8,Southern Steel,Magic,813,809,SOU,2009-05-25T19:00:00+12:00,80050803,39,4,,4,,48,ILT Stadium Southland,2009-05-25T07:00:00Z,WBM,STE,WBM,3,8,8005
419,NSW Swifts,H,804,VIX,Vixens,complete,8,Melbourne Vixens,Swifts,810,806,HIS,2009-05-25T19:00:00+10:00,80050804,65,6,,6,,63,Hisense Arena,2009-05-25T09:00:00Z,SWI,VIX,SWI,4,8,8005
908,Southern Steel,H,803,PUL,Pulse,complete,9,Central Pulse,Steel,801,808,TBS,2009-05-30T14:00:00+12:00,80050901,44,4,,4,,66,TSB Bank Arena,2009-05-30T02:00:00Z,STE,PUL,STE,1,8,8005
894,Queensland Firebirds,H,804,VIX,Vixens,complete,9,Melbourne Vixens,Firebirds,810,807,HIS,2009-05-31T14:30:00+10:00,80050902,57,4,,4,,53,Hisense Arena,2009-05-31T04:30:00Z,FIR,VIX,FIR,2,8,8005
901,Adelaide Thunderbirds,H,810,FEV,Fever,complete,9,West Coast Fever,Thunderbirds,808,801,CHA,2009-06-01T18:00:00+08:00,80050904,41,4,,4,,61,Challenge Stadium,2009-06-01T10:00:00Z,THU,FEV,THU,4,8,8005
909,Mainland Tactix,H,805,MYS,Mystics,complete,9,Northern Mystics,Tactix,803,802,TRU,2009-06-01T19:00:00+12:00,80050903,47,4,,4,,46,The Trusts Arena,2009-06-01T07:00:00Z,TAC,MYS,TAC,3,8,8005
909,Northern Mystics,H,801,THU,Thunderbirds,complete,10,Adelaide Thunderbirds,Mystics,820,805,DHD,2009-06-06T13:30:00+09:30,80051002,58,4,,4,,34,Distinctive Homes Dome,2009-06-06T04:00:00Z,MYS,THU,MYS,2,8,8005
915,Mainland Tactix,H,803,PUL,Pulse,complete,10,Central Pulse,Tactix,823,802,TRC,2009-06-06T14:00:00+12:00,80051001,45,4,,4,,59,Te Rauparaha Arena,2009-06-06T02:00:00Z,TAC,PUL,TAC,1,8,8005
911,NSW Swifts,H,807,FIR,Firebirds,complete,10,Queensland Firebirds,Swifts,802,806,BCE,2009-06-07T14:30:00+10:00,80051003,62,4,,4,,61,Brisbane Convention & Exhibition Centre,2009-06-07T04:30:00Z,SWI,FIR,SWI,3,8,8005
905,Southern Steel,H,810,FEV,Fever,complete,10,West Coast Fever,Steel,808,808,CHA,2009-06-08T17:00:00+08:00,80051005,59,4,,4,,48,Challenge Stadium,2009-06-08T09:00:00Z,STE,FEV,STE,5,8,8005
923,Melbourne Vixens,H,809,WBM,Magic,complete,10,Avis WBOP Magic,Vixens,822,804,QEY,2009-06-08T19:00:00+12:00,80051004,55,4,,4,,48,Queen Elizabeth Youth Centre,2009-06-08T07:00:00Z,VIX,WBM,VIX,4,8,8005
908,Queensland Firebirds,H,802,TAC,Tactix,complete,11,Mainland Tactix,Firebirds,806,807,CBS,2009-06-13T14:00:00+12:00,80051101,53,4,,4,,46,CBS Canterbury Arena,2009-06-13T02:00:00Z,FIR,TAC,FIR,1,8,8005
904,West Coast Fever,H,801,THU,Thunderbirds,complete,11,Adelaide Thunderbirds,Fever,812,810,ETS,2009-06-14T14:00:00+09:30,80051102,58,4,,4,,39,Netball SA Stadium,2009-06-14T04:30:00Z,FEV,THU,FEV,2,8,8005
904,Avis WBOP Magic,H,803,PUL,Pulse,complete,11,Central Pulse,Magic,801,809,TBS,2009-06-14T18:30:00+12:00,80051103,35,4,,4,,67,TSB Bank Arena,2009-06-14T06:30:00Z,WBM,PUL,WBM,3,8,8005
922,Northern Mystics,H,808,STE,Steel,complete,11,Southern Steel,Mystics,813,805,SOU,2009-06-15T19:00:00+12:00,80051104,52,4,,4,,50,ILT Stadium Southland,2009-06-15T07:00:00Z,MYS,STE,MYS,4,8,8005
900,Melbourne Vixens,H,806,SWI,Swifts,complete,11,NSW Swifts,Vixens,816,804,OLY,2009-06-15T19:00:00+10:00,80051105,52,4,,4,,63,Sydney Olympic Park Sports Centre,2009-06-15T09:00:00Z,VIX,SWI,VIX,5,8,8005
913,Central Pulse,H,801,THU,Thunderbirds,complete,12,Adelaide Thunderbirds,Pulse,812,803,ETS,2009-06-20T13:30:00+09:30,80051202,70,4,,4,,40,Netball SA Stadium,2009-06-20T04:00:00Z,PUL,THU,PUL,2,8,8005
901,Melbourne Vixens,H,805,MYS,Mystics,complete,12,Northern Mystics,Vixens,803,804,TRU,2009-06-20T14:00:00+12:00,80051201,57,4,,4,,61,The Trusts Arena,2009-06-20T02:00:00Z,VIX,MYS,VIX,1,8,8005
902,West Coast Fever,H,806,SWI,Swifts,complete,12,NSW Swifts,Fever,816,810,OLY,2009-06-21T14:30:00+10:00,80051203,60,4,,4,,63,Sydney Olympic Park Sports Centre,2009-06-21T04:30:00Z,FEV,SWI,FEV,3,8,8005
914,Mainland Tactix,H,809,WBM,Magic,complete,12,Avis WBOP Magic,Tactix,805,802,ROT,2009-06-22T19:00:00+12:00,80051204,50,4,,4,,46,Energy Events Centre,2009-06-22T07:00:00Z,TAC,WBM,TAC,4,8,8005
906,Southern Steel,H,807,FIR,Firebirds,complete,12,Queensland Firebirds,Steel,802,808,BCE,2009-06-22T19:00:00+10:00,80051205,52,4,,4,,50,Brisbane Convention & Exhibition Centre,2009-06-22T09:00:00Z,STE,FIR,STE,5,8,8005
908,Queensland Firebirds,H,805,MYS,Mystics,complete,13,Northern Mystics,Firebirds,803,807,TRU,2009-06-27T14:00:00+12:00,80051301,57,4,,4,,59,The Trusts Arena,2009-06-27T02:00:00Z,FIR,MYS,FIR,1,8,8005
926,Avis WBOP Magic,H,810,FEV,Fever,complete,13,West Coast Fever,Magic,808,809,CHA,2009-06-28T12:30:00+08:00,80051302,38,4,,4,,49,Challenge Stadium,2009-06-28T04:30:00Z,WBM,FEV,WBM,2,8,8005
899,NSW Swifts,H,803,PUL,Pulse,complete,13,Central Pulse,Swifts,823,806,TRC,2009-06-28T18:30:00+12:00,80051303,53,4,,4,,52,Te Rauparaha Arena,2009-06-28T06:30:00Z,SWI,PUL,SWI,3,8,8005
908,Adelaide Thunderbirds,H,808,STE,Steel,complete,13,Southern Steel,Thunderbirds,815,801,EDC,2009-06-29T19:00:00+12:00,80051304,58,4,,4,,49,Edgar Centre,2009-06-29T07:00:00Z,THU,STE,THU,4,8,8005
903,Mainland Tactix,H,804,VIX,Vixens,complete,13,Melbourne Vixens,Tactix,810,802,HIS,2009-06-29T19:00:00+10:00,80051305,63,4,,4,,35,Hisense Arena,2009-06-29T09:00:00Z,TAC,VIX,TAC,5,8,8005
906,NSW Swifts,H,808,STE,Steel,complete,14,Southern Steel,Swifts,813,806,SOU,2009-07-04T14:00:00+12:00,80051401,55,4,,4,,48,ILT Stadium Southland,2009-07-04T02:00:00Z,SWI,STE,SWI,1,8,8005
903,Central Pulse,H,804,VIX,Vixens,complete,14,Melbourne Vixens,Pulse,810,803,HIS,2009-07-04T14:00:00+10:00,80051402,80,4,,4,,39,Hisense Arena,2009-07-04T04:00:00Z,PUL,VIX,PUL,2,8,8005
906,Avis WBOP Magic,H,801,THU,Thunderbirds,complete,14,Adelaide Thunderbirds,Magic,820,809,DHD,2009-07-05T14:00:00+09:30,80051403,54,4,,4,,35,Distinctive Homes Dome,2009-07-05T04:30:00Z,WBM,THU,WBM,3,8,8005
903,Queensland Firebirds,H,810,FEV,Fever,complete,14,West Coast Fever,Firebirds,808,807,CHA,2009-07-06T18:00:00+08:00,80051405,52,4,,4,,54,Challenge Stadium,2009-07-06T10:00:00Z,FIR,FEV,FIR,5,8,8005
907,Northern Mystics,H,802,TAC,Tactix,complete,14,Mainland Tactix,Mystics,806,805,CBS,2009-07-06T19:00:00+12:00,80051404,63,4,,4,,56,CBS Canterbury Arena,2009-07-06T07:00:00Z,MYS,TAC,MYS,4,8,8005
