rebounds,turnoverHeld,centrePassToGoalPerc,penalties,deflectionWithNoGain,generalPlayTurnovers,interceptPassThrown,gain,points,goalMisses,blocked,deflectionWithGain,goalAssists,tossUpWin,centrePassReceives,obstructionPenalties,feeds,playerId,goals,offsides,secondPhaseReceive,badPasses,period,breaks,blocks,badHands,missedGoalTurnover,squadId,startingPositionCode,possessionChanges,goalAttempts,contactPenalties,quartersPlayed,minutesPlayed,feedWithAttempt,unforcedTurnovers,pickups,currentPositionCode,gainToGoalPerc,intercepts,matchId,periodId
0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,4,0,80131,0,0,0,0,3,0,0,0,0,810,GK,0,0,7,0,0,0,0,0,GK,0,0,80051405,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80130,0,0,0,0,3,0,0,0,0,810,GA,0,0,0,0,0,0,0,0,I,0,0,80051405,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80165,0,0,0,0,3,0,0,0,0,810,I,0,0,0,0,0,0,0,0,I,0,0,80051405,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80133,0,0,0,0,3,0,0,0,0,810,I,0,0,0,0,0,0,0,0,GD,0,0,80051405,3
0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,2,0,80132,0,0,0,0,3,0,0,0,0,810,WD,1,0,1,0,0,0,0,2,WD,0,0,80051405,3
0,0,0,1,0,2,0,0,4,2,0,0,1,0,5,0,5,80135,4,0,0,0,3,0,0,0,0,810,I,2,6,1,0,0,0,2,0,GA,0,0,80051405,3
0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,5,80041,0,0,0,0,3,0,0,0,0,810,WA,0,0,0,0,0,0,0,0,WA,0,0,80051405,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80077,0,0,0,0,3,0,0,0,0,807,I,0,0,0,0,0,0,0,0,I,0,0,80051405,3
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,80076,0,0,0,0,3,0,0,0,0,807,WD,0,0,1,0,0,0,0,1,WD,0,0,80051405,3
0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,1,0,80044,0,0,0,0,3,0,0,0,0,810,GD,1,0,4,0,0,0,1,2,I,0,2,80051405,3
0,0,0,0,0,2,0,0,15,2,0,0,0,0,0,0,0,80078,15,0,0,0,3,0,0,2,0,807,GS,2,17,0,0,0,0,2,0,GS,0,0,80051405,3
0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,7,80081,0,0,0,0,3,0,0,0,0,807,C,0,0,2,0,0,0,0,0,C,0,0,80051405,3
1,0,0,0,0,2,0,0,10,3,0,0,2,0,0,0,2,80113,10,0,0,0,3,0,0,2,0,810,GS,2,13,0,0,0,0,2,0,GS,0,0,80051405,3
1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,80080,0,0,0,0,3,0,0,0,0,807,GK,0,0,4,0,0,0,0,1,GK,0,0,80051405,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80083,0,0,0,0,3,0,0,0,0,807,I,0,0,0,0,0,0,0,0,I,0,0,80051405,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80179,0,0,0,0,3,0,0,0,0,807,I,0,0,0,0,0,0,0,0,I,0,0,80051405,3
0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,8,80085,0,0,0,0,3,0,0,0,0,807,WA,0,0,0,0,0,0,0,0,WA,0,0,80051405,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80181,0,0,0,0,3,0,0,0,0,810,I,0,0,0,0,0,0,0,0,I,0,0,80051405,3
2,0,0,7,0,1,0,0,0,0,0,0,0,0,2,0,0,80020,0,0,0,0,3,0,0,0,0,807,GD,1,0,7,0,0,0,1,0,GD,0,0,80051405,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80087,0,0,0,0,3,0,0,0,0,807,I,0,0,0,0,0,0,0,0,I,0,0,80051405,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80086,0,0,0,0,3,0,0,0,0,807,I,0,0,0,0,0,0,0,0,I,0,0,80051405,3
0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,9,80152,0,0,0,2,3,0,0,0,0,810,C,2,0,2,0,0,0,2,1,C,0,0,80051405,3
0,0,0,2,0,1,0,0,0,1,0,0,3,0,3,2,5,80155,0,0,0,1,3,0,0,0,0,807,GA,1,1,0,0,0,0,1,0,GA,0,0,80051405,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80122,0,0,0,0,3,0,0,0,0,810,I,0,0,0,0,0,0,0,0,I,0,0,80051405,3
