rebounds,turnoverHeld,centrePassToGoalPerc,penalties,deflectionWithNoGain,generalPlayTurnovers,interceptPassThrown,gain,points,goalMisses,blocked,deflectionWithGain,goalAssists,tossUpWin,centrePassReceives,obstructionPenalties,feeds,playerId,goals,offsides,secondPhaseReceive,badPasses,period,breaks,blocks,badHands,missedGoalTurnover,squadId,startingPositionCode,possessionChanges,goalAttempts,contactPenalties,quartersPlayed,minutesPlayed,feedWithAttempt,unforcedTurnovers,pickups,currentPositionCode,gainToGoalPerc,intercepts,matchId,periodId
1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,80131,0,0,0,0,2,0,0,0,0,810,-,0,0,7,0,0,0,0,0,-,0,2,80051405,2
1,0,0,1,0,4,0,0,1,2,0,0,2,0,4,1,6,80130,1,0,0,3,2,0,0,1,0,810,-,4,3,0,0,0,0,4,1,-,0,0,80051405,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80165,0,0,0,0,2,0,0,0,0,810,-,0,0,0,0,0,0,0,0,-,0,0,80051405,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80133,0,0,0,0,2,0,0,0,0,810,-,0,0,0,0,0,0,0,0,-,0,0,80051405,2
0,0,0,2,5,2,0,0,0,0,0,0,0,0,1,0,0,80132,0,0,0,0,2,0,0,0,0,810,-,2,0,2,0,0,0,0,0,-,0,0,80051405,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80135,0,0,0,0,2,0,0,0,0,810,-,0,0,0,0,0,0,0,0,-,0,0,80051405,2
0,0,0,1,0,1,0,0,0,0,0,0,2,0,6,0,3,80041,0,0,0,0,2,0,0,1,0,810,-,1,0,1,0,0,0,1,1,-,0,0,80051405,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80077,0,0,0,0,2,0,0,0,0,807,-,0,0,0,0,0,0,0,0,-,0,0,80051405,2
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,80076,0,0,0,0,2,0,0,0,0,807,-,0,0,2,0,0,0,0,0,-,0,0,80051405,2
0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,80044,0,0,0,0,2,0,0,1,0,810,-,1,0,1,0,0,0,1,1,-,0,0,80051405,2
1,0,0,0,1,0,0,0,7,3,0,0,0,0,0,0,0,80078,7,0,0,0,2,0,0,0,0,807,-,0,10,0,0,0,0,0,1,-,0,0,80051405,2
0,0,0,3,2,2,0,0,0,0,0,0,2,0,0,0,5,80081,0,0,0,1,2,0,0,1,0,807,-,2,0,3,0,0,0,2,1,-,0,0,80051405,2
0,0,0,1,0,1,0,0,10,3,0,0,0,0,0,0,0,80113,10,0,0,0,2,0,0,1,0,810,-,1,13,1,0,0,0,1,0,-,0,0,80051405,2
1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,80080,0,0,0,0,2,0,0,0,0,807,-,0,0,2,0,0,0,0,0,-,0,0,80051405,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80083,0,0,0,0,2,0,0,0,0,807,-,0,0,0,0,0,0,0,0,-,0,0,80051405,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80179,0,0,0,0,2,0,0,0,0,807,-,0,0,0,0,0,0,0,0,-,0,0,80051405,2
0,0,0,1,0,1,0,0,0,0,0,0,0,0,6,0,3,80085,0,0,0,1,2,0,0,0,0,807,-,1,0,1,0,0,0,1,1,-,0,0,80051405,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80181,0,0,0,0,2,0,0,0,0,810,-,0,0,0,0,0,0,0,0,-,0,0,80051405,2
1,0,0,4,0,1,0,0,0,0,0,0,0,0,2,0,0,80020,0,0,0,1,2,0,0,0,0,807,-,1,0,4,0,0,0,1,0,-,0,0,80051405,2
1,0,0,0,1,1,0,0,3,1,0,0,2,0,1,0,5,80087,3,0,0,0,2,0,0,0,0,807,-,1,4,0,0,0,0,0,0,-,0,0,80051405,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80086,0,0,0,0,2,0,0,0,0,807,-,0,0,0,0,0,0,0,0,-,0,0,80051405,2
0,0,0,1,1,2,0,0,0,0,0,0,2,0,0,0,6,80152,0,0,0,1,2,0,0,0,0,810,-,2,0,1,0,0,0,1,0,-,0,0,80051405,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80155,0,0,0,0,2,0,0,0,0,807,-,0,0,0,0,0,0,0,0,-,0,0,80051405,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80122,0,0,0,0,2,0,0,0,0,810,-,0,0,0,0,0,0,0,0,-,0,0,80051405,2
