rebounds,turnoverHeld,centrePassToGoalPerc,penalties,deflectionWithNoGain,generalPlayTurnovers,interceptPassThrown,gain,points,goalMisses,blocked,deflectionWithGain,goalAssists,tossUpWin,centrePassReceives,obstructionPenalties,feeds,playerId,goals,offsides,secondPhaseReceive,badPasses,period,breaks,blocks,badHands,missedGoalTurnover,squadId,startingPositionCode,possessionChanges,goalAttempts,contactPenalties,quartersPlayed,minutesPlayed,feedWithAttempt,unforcedTurnovers,pickups,currentPositionCode,gainToGoalPerc,intercepts,matchId,periodId
0,0,0,9,2,1,0,0,0,0,0,0,0,0,0,0,0,80131,0,0,0,0,1,0,0,0,0,810,GK,1,0,9,0,0,0,0,0,GK,0,1,80051405,1
0,0,0,2,1,3,0,0,3,2,0,0,2,0,4,0,5,80130,3,0,0,1,1,0,0,0,0,810,GA,3,5,2,0,0,0,2,0,GA,0,0,80051405,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80165,0,0,0,0,1,0,0,0,0,810,I,0,0,0,0,0,0,0,0,I,0,0,80051405,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80133,0,0,0,0,1,0,0,0,0,810,I,0,0,0,0,0,0,0,0,I,0,0,80051405,1
0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,80132,0,0,0,0,1,0,0,0,0,810,WD,0,0,2,0,0,0,0,0,WD,0,1,80051405,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80135,0,0,0,0,1,0,0,0,0,810,I,0,0,0,0,0,0,0,0,I,0,0,80051405,1
0,0,0,1,0,1,0,0,0,0,0,0,3,0,6,0,7,80041,0,0,0,0,1,0,0,0,0,810,WA,1,0,1,0,0,0,1,1,WA,0,0,80051405,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80077,0,0,0,0,1,0,0,0,0,807,I,0,0,0,0,0,0,0,0,I,0,0,80051405,1
0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,3,0,80076,0,0,0,0,1,0,0,0,0,807,WD,0,0,1,0,0,0,0,1,WD,0,0,80051405,1
0,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0,0,80044,0,0,0,1,1,0,0,0,0,810,GD,1,0,3,0,0,0,1,2,GD,0,2,80051405,1
1,0,0,1,0,1,0,0,12,2,0,0,0,0,0,0,0,80078,12,0,0,0,1,0,0,0,0,807,GS,1,14,1,0,0,0,1,0,GS,0,0,80051405,1
0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,2,3,80081,0,0,0,0,1,0,0,0,0,807,C,1,0,0,0,0,0,0,0,C,0,0,80051405,1
1,0,0,1,0,1,0,0,8,3,0,0,1,0,0,0,1,80113,8,0,0,0,1,0,0,1,0,810,GS,1,11,1,0,0,0,1,0,GS,0,0,80051405,1
3,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,80080,0,0,0,0,1,0,0,0,0,807,GK,1,0,7,0,0,0,1,1,GK,0,1,80051405,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80083,0,0,0,0,1,0,0,0,0,807,I,0,0,0,0,0,0,0,0,I,0,0,80051405,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80179,0,0,0,0,1,0,0,0,0,807,I,0,0,0,0,0,0,0,0,I,0,0,80051405,1
0,0,0,0,0,3,0,0,0,0,0,0,2,0,5,0,8,80085,0,0,0,2,1,0,0,1,0,807,WA,3,0,0,0,0,0,3,0,WA,0,0,80051405,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80181,0,0,0,0,1,0,0,0,0,810,I,0,0,0,0,0,0,0,0,I,0,0,80051405,1
0,0,0,2,1,1,0,0,0,0,0,0,0,0,2,0,0,80020,0,0,0,0,1,0,0,0,0,807,GD,1,0,2,0,0,0,0,1,GD,0,1,80051405,1
4,0,0,0,1,0,0,0,4,4,0,0,4,0,3,0,9,80087,4,0,0,0,1,0,0,0,0,807,GA,0,8,0,0,0,0,0,0,GA,0,0,80051405,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80086,0,0,0,0,1,0,0,0,0,807,I,0,0,0,0,0,0,0,0,I,0,0,80051405,1
0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,80152,0,0,0,0,1,0,0,0,0,810,C,0,0,2,0,0,0,0,2,C,0,0,80051405,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80155,0,0,0,0,1,0,0,0,0,807,I,0,0,0,0,0,0,0,0,I,0,0,80051405,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80122,0,0,0,0,1,0,0,0,0,810,I,0,0,0,0,0,0,0,0,I,0,0,80051405,1
