period,distanceCode,scorepoints,periodSeconds,positionCode,squadId,playerId,scoreName,matchId,scoreFlowId
3,1,1,723,0,810,80135,goal,80051405,80051405_1
3,0,1,739,1,807,80078,goal,80051405,80051405_1
3,1,0,776,0,810,80135,miss,80051405,80051405_1
3,0,1,813,0,807,80078,goal,80051405,80051405_1
3,0,0,831,2,807,80078,miss,80051405,80051405_1
3,0,1,876,1,807,80078,goal,80051405,80051405_1
3,0,1,892,1,810,80113,goal,80051405,80051405_1
4,1,0,56,1,810,80113,miss,80051405,80051405_1
4,0,0,93,0,807,80078,miss,80051405,80051405_1
4,1,1,121,1,810,80113,goal,80051405,80051405_1
4,0,1,135,0,807,80078,goal,80051405,80051405_1
4,0,1,148,1,810,80113,goal,80051405,80051405_1
4,0,1,172,0,807,80078,goal,80051405,80051405_1
4,1,0,200,2,810,80135,miss,80051405,80051405_1
4,0,1,206,1,810,80113,goal,80051405,80051405_1
4,0,1,223,2,807,80078,goal,80051405,80051405_1
4,0,1,251,1,810,80113,goal,80051405,80051405_1
4,1,1,314,1,810,80135,goal,80051405,80051405_1
4,0,1,351,2,810,80135,goal,80051405,80051405_1
4,0,1,372,0,807,80078,goal,80051405,80051405_1
4,1,1,392,1,810,80113,goal,80051405,80051405_1
4,0,1,421,1,807,80078,goal,80051405,80051405_1
4,0,1,453,1,810,80113,goal,80051405,80051405_1
4,0,1,470,0,807,80078,goal,80051405,80051405_1
4,0,1,492,1,810,80113,goal,80051405,80051405_1
4,0,1,520,0,807,80078,goal,80051405,80051405_1
4,0,1,551,1,810,80113,goal,80051405,80051405_1
4,0,1,582,1,807,80078,goal,80051405,80051405_1
4,0,0,602,2,810,80113,miss,80051405,80051405_1
4,0,1,606,0,810,80113,goal,80051405,80051405_1
4,0,1,631,1,807,80078,goal,80051405,80051405_1
4,1,1,648,1,810,80113,goal,80051405,80051405_1
4,0,1,682,1,807,80087,goal,80051405,80051405_1
4,0,1,704,1,810,80113,goal,80051405,80051405_1
4,0,1,714,0,807,80078,goal,80051405,80051405_1
4,0,0,732,1,810,80113,miss,80051405,80051405_1
4,0,1,735,1,810,80113,goal,80051405,80051405_1
4,0,0,758,0,807,80078,miss,80051405,80051405_1
4,0,1,776,2,810,80135,goal,80051405,80051405_1
4,1,1,801,2,807,80087,goal,80051405,80051405_1
4,0,1,821,1,807,80078,goal,80051405,80051405_1
4,0,1,840,1,810,80113,goal,80051405,80051405_1
4,1,0,900,2,807,80087,miss,80051405,80051405_1
