marksInside50,handballs,positionCode,clangers,hitoutsToAdvantage,penalty50sAgainst,disposals,goalAssists,kickEfficiency,kicksEffective,marksUncontested,tackles,freesFor,behinds,playerId,goals,inside50s,jumperNumber,disposalEfficiency,period,blocks,squadId,marks,hitouts,kicks,marksContested,possessionsContested,freesAgainst,clearances,kicksIneffective,possessionsUncontested,matchId,periodId
0,0,FF,0,0,0,2,0,50,1,0,1,0,0,296143,0,0,93,50,3,0,8096,1,0,2,1,1,0,0,1,1,100640101,3
0,4,RK,0,0,0,6,0,0,0,0,1,0,0,296158,0,0,105,17,3,0,8096,0,0,2,0,2,0,0,2,3,100640101,3
0,1,HFF,0,0,0,1,0,0,0,0,0,0,0,997662,0,0,28,100,3,0,8096,0,0,0,0,1,0,0,0,0,100640101,3
0,2,FB,1,0,0,4,0,50,1,0,1,0,0,997663,1,1,9,75,3,0,8096,0,0,2,0,5,0,0,1,0,100640101,3
0,1,EMERG,0,0,0,2,0,100,1,0,2,0,0,997664,0,0,104,50,3,0,8096,0,0,1,0,1,0,0,0,1,100640101,3
0,1,BP,1,0,0,2,0,0,0,0,1,0,0,997678,0,1,20,50,3,0,8096,0,0,1,0,1,1,1,1,1,100640101,3
0,3,HBF,1,0,0,3,0,0,0,0,2,0,0,997695,0,0,20,100,3,0,8096,0,0,0,0,2,1,1,0,1,100640101,3
0,0,INT,0,0,0,0,0,0,0,0,0,0,0,997715,0,0,22,0,3,0,8096,0,0,0,0,0,0,0,0,0,100640101,3
0,0,R,1,0,0,3,0,33,1,0,2,0,0,998154,0,1,65,33,3,0,8096,0,0,3,0,1,0,0,2,0,100640101,3
0,3,BP,1,0,0,6,0,67,2,0,0,0,0,1003020,1,1,4,83,3,0,8096,0,0,3,0,2,0,0,0,4,100640101,3
0,3,RR,0,0,0,3,0,0,0,0,3,0,0,1006666,0,0,10,0,3,0,8096,0,0,0,0,3,0,0,0,0,100640101,3
0,2,C,1,0,0,3,0,0,0,0,2,0,0,1006996,0,0,48,67,3,0,8096,0,0,1,0,1,0,1,0,2,100640101,3
0,0,FP,0,0,0,1,0,100,1,0,0,1,0,1007003,0,1,180,100,3,1,8096,0,7,1,0,1,0,1,0,0,100640101,3
0,2,HBF,3,0,0,4,0,50,1,1,0,0,0,1007012,0,0,21,75,3,0,8096,1,0,2,0,2,1,0,0,3,100640101,3
0,2,INT,0,0,0,3,0,0,0,0,2,0,0,1007016,0,0,8,67,3,0,8096,0,0,1,0,3,0,1,1,0,100640101,3
0,2,HFF,0,0,0,3,1,100,1,0,1,1,0,1007017,0,0,72,100,3,0,8096,0,0,1,0,1,0,0,0,2,100640101,3
0,0,INT,0,1,0,0,0,0,0,0,0,0,0,1007023,0,0,80,0,3,0,8096,0,4,0,0,0,0,0,0,0,100640101,3
0,0,FP,0,0,0,0,0,0,0,0,0,0,0,1007025,0,0,32,0,3,0,8096,0,0,0,0,0,0,0,0,0,100640101,3
0,0,CHB,0,0,0,0,0,0,0,0,0,0,0,1007026,0,0,6,0,3,0,8096,0,0,0,0,0,0,0,0,0,100640101,3
0,1,EMERG,0,0,0,2,0,0,0,1,1,0,0,1007133,0,0,108,0,3,0,8096,1,0,1,0,1,0,0,1,1,100640101,3
0,0,INT,1,0,0,1,0,0,0,0,1,0,0,1007135,0,0,69,0,3,0,8096,0,0,1,0,0,0,0,0,0,100640101,3
0,1,CHF,0,0,0,3,0,50,1,0,2,0,0,1007137,0,1,45,33,3,0,8096,0,0,2,0,0,0,0,1,3,100640101,3
0,0,FP,0,0,0,3,0,67,2,1,1,0,0,296154,0,2,86,67,3,0,8097,1,0,3,0,2,0,0,1,2,100640101,3
1,1,CHF,0,0,0,2,0,0,0,0,1,0,1,997672,0,0,46,0,3,0,8097,1,0,1,1,2,0,0,1,0,100640101,3
0,0,INT,1,0,0,1,0,100,1,1,1,0,0,997680,0,1,12,100,3,0,8097,1,0,1,0,0,0,0,0,1,100640101,3
0,3,FF,0,0,0,4,0,0,0,0,1,0,0,997683,0,0,190,50,3,0,8097,0,0,1,0,3,0,1,1,1,100640101,3
0,0,HFF,0,0,0,1,0,0,0,0,0,0,0,997688,0,0,50,0,3,0,8097,0,0,1,0,0,0,0,1,1,100640101,3
0,2,C,0,0,0,2,0,0,0,0,2,0,0,997729,0,0,32,50,3,0,8097,0,0,0,0,1,0,0,0,1,100640101,3
0,0,BP,0,0,0,2,0,0,0,0,3,0,0,998029,0,0,6,0,3,0,8097,0,0,2,0,1,0,1,2,1,100640101,3
0,2,EMERG,0,0,0,4,0,0,0,0,1,0,0,998048,0,0,165,50,3,0,8097,0,0,2,0,3,0,2,2,1,100640101,3
0,2,HBF,0,0,0,4,0,50,1,0,1,0,0,998158,0,0,68,75,3,0,8097,0,0,2,0,2,0,0,1,2,100640101,3
0,1,INT,1,0,0,2,0,0,0,0,1,0,0,998159,0,0,3,50,3,0,8097,0,0,1,0,2,0,1,0,0,100640101,3
0,0,RR,0,0,0,1,0,0,0,1,1,0,0,998164,0,0,84,0,3,0,8097,1,0,1,0,0,0,0,1,1,100640101,3
0,3,R,0,0,0,6,0,33,1,1,3,0,0,1001684,0,1,80,50,3,0,8097,1,0,3,0,2,0,0,2,4,100640101,3
0,0,RK,1,0,0,0,0,0,0,0,0,0,0,1001686,0,0,240,0,3,0,8097,0,1,0,0,0,1,0,0,0,100640101,3
0,0,FB,2,0,0,3,0,33,1,1,0,1,0,1004400,0,1,12,33,3,0,8097,1,0,3,0,2,1,0,1,1,100640101,3
0,0,BP,0,0,0,0,0,0,0,0,0,0,0,1004401,0,0,5,0,3,0,8097,0,0,0,0,0,0,0,0,0,100640101,3
0,0,EMERG,1,0,0,3,0,67,2,1,1,1,0,1005864,0,2,54,67,3,0,8097,1,0,3,0,2,0,0,0,1,100640101,3
0,0,INT,0,0,0,1,0,100,1,0,2,0,0,1006649,0,0,44,100,3,0,8097,0,0,1,0,0,0,0,0,1,100640101,3
0,1,HBF,0,0,0,1,0,0,0,0,1,0,0,1006990,0,0,21,0,3,0,8097,0,0,0,0,1,0,0,0,0,100640101,3
0,1,CHB,0,0,0,4,0,33,1,1,1,0,0,1007015,0,0,48,50,3,0,8097,1,0,3,0,2,0,1,2,2,100640101,3
0,0,FP,0,0,0,1,0,100,1,0,0,1,0,1007024,0,1,52,100,3,0,8097,0,0,1,0,1,0,1,0,0,100640101,3
0,3,INT,0,1,0,3,0,0,0,0,2,0,0,1007027,0,0,108,33,3,0,8097,0,4,0,0,2,0,0,0,1,100640101,3
0,1,HFF,1,0,0,1,0,0,0,0,0,0,0,1007139,0,0,44,0,3,0,8097,0,0,0,0,1,0,0,0,0,100640101,3
