marksInside50,handballs,positionCode,clangers,hitoutsToAdvantage,penalty50sAgainst,disposals,goalAssists,kickEfficiency,kicksEffective,marksUncontested,tackles,freesFor,behinds,playerId,goals,inside50s,jumperNumber,disposalEfficiency,period,blocks,squadId,marks,hitouts,kicks,marksContested,possessionsContested,freesAgainst,clearances,kicksIneffective,possessionsUncontested,matchId,periodId
0,0,FF,1,0,0,3,0,67,2,1,0,0,0,296143,0,0,93,67,4,0,8096,1,0,3,0,2,0,0,0,1,100640101,4
3,1,RK,1,0,0,5,0,50,2,1,0,0,0,296158,1,1,70,40,4,0,8096,3,0,4,2,4,0,0,2,2,100640101,4
0,0,HFF,0,0,0,0,0,0,0,0,0,0,0,997662,0,0,14,0,4,0,8096,0,0,0,0,0,0,0,0,0,100640101,4
1,0,FB,0,0,0,2,0,50,1,0,1,0,1,997663,0,0,6,50,4,0,8096,1,0,2,1,2,0,0,1,0,100640101,4
0,0,EMERG,0,0,0,1,0,0,0,0,0,0,0,997664,0,1,78,0,4,1,8096,0,0,1,0,1,0,1,1,0,100640101,4
0,3,BP,1,0,0,7,0,25,1,0,1,0,0,997678,0,1,20,29,4,0,8096,0,0,4,0,5,0,2,2,2,100640101,4
0,2,HBF,2,0,0,2,0,0,0,0,0,0,0,997695,0,0,20,50,4,0,8096,0,0,0,0,2,2,0,0,1,100640101,4
0,0,INT,0,0,0,0,0,0,0,0,0,0,0,997715,0,0,22,0,4,0,8096,0,0,0,0,0,0,0,0,0,100640101,4
1,3,R,0,0,0,4,0,0,0,1,1,0,1,998154,0,1,39,75,4,0,8096,1,0,1,0,1,0,0,1,3,100640101,4
0,5,BP,1,0,0,8,0,100,3,1,0,0,0,1003020,0,2,4,75,4,0,8096,1,0,3,0,3,1,1,0,5,100640101,4
0,1,RR,1,0,0,1,0,0,0,0,0,0,0,1006666,0,0,40,100,4,0,8096,0,0,0,0,1,1,0,0,0,100640101,4
0,0,C,0,0,0,0,0,0,0,0,0,0,0,1006996,0,0,36,0,4,0,8096,0,0,0,0,0,0,0,0,0,100640101,4
0,0,FP,0,0,0,2,0,100,2,1,1,0,0,1007003,0,0,120,100,4,0,8096,1,0,2,0,1,0,0,0,1,100640101,4
0,1,HBF,0,0,0,1,0,0,0,0,0,0,0,1007012,0,0,14,100,4,0,8096,0,0,0,0,1,0,0,0,0,100640101,4
0,0,INT,0,0,0,2,0,0,0,0,0,0,0,1007016,0,0,4,0,4,0,8096,0,0,2,0,0,0,0,2,1,100640101,4
0,0,HFF,0,0,0,1,0,0,0,0,1,0,0,1007017,0,0,72,0,4,0,8096,0,0,1,0,0,0,0,1,1,100640101,4
0,0,INT,0,0,0,2,0,50,1,0,1,0,0,1007023,0,0,96,50,4,0,8096,0,4,2,0,0,0,0,1,1,100640101,4
0,0,FP,0,0,0,0,0,0,0,0,0,0,0,1007025,0,0,32,0,4,0,8096,0,0,0,0,0,0,0,0,0,100640101,4
0,0,CHB,1,0,0,3,1,67,2,0,2,1,0,1007026,0,0,18,67,4,0,8096,0,0,3,0,3,0,0,0,0,100640101,4
0,1,EMERG,0,0,0,3,0,100,2,0,1,1,0,1007133,0,2,54,67,4,0,8096,0,0,2,0,2,0,0,0,1,100640101,4
1,1,INT,1,0,0,3,0,0,0,1,1,0,0,1007135,0,0,92,33,4,0,8096,1,0,2,0,2,1,1,2,1,100640101,4
0,0,CHF,0,0,0,0,0,0,0,0,0,0,0,1007137,0,0,15,0,4,0,8096,0,0,0,0,0,0,0,0,0,100640101,4
0,0,FP,0,0,0,0,0,0,0,0,0,0,0,296154,0,0,43,0,4,0,8097,0,0,0,0,0,0,0,0,0,100640101,4
0,0,CHF,0,0,0,0,0,0,0,0,0,0,0,997672,0,0,23,0,4,0,8097,0,0,0,0,0,0,0,0,0,100640101,4
0,0,INT,1,0,0,1,0,0,0,1,0,0,0,997680,0,0,12,0,4,0,8097,1,0,1,0,0,0,0,0,1,100640101,4
0,0,FF,1,0,0,2,0,50,1,1,1,0,0,997683,0,0,152,50,4,0,8097,1,0,2,0,1,0,1,0,1,100640101,4
0,0,HFF,1,0,0,5,0,100,5,2,0,0,0,997688,0,1,100,100,4,0,8097,2,0,5,0,1,1,0,0,3,100640101,4
0,1,C,0,0,0,1,0,0,0,0,2,0,0,997729,0,0,32,100,4,0,8097,0,0,0,0,0,0,0,0,1,100640101,4
0,0,BP,0,0,0,2,0,0,0,0,0,0,0,998029,0,2,8,0,4,0,8097,0,0,2,0,1,0,1,2,1,100640101,4
0,1,EMERG,1,0,0,2,0,100,1,0,1,1,0,998048,0,0,132,50,4,0,8097,0,0,1,0,1,0,0,0,1,100640101,4
0,0,HBF,0,0,0,1,0,0,0,0,0,0,0,998158,0,1,34,0,4,0,8097,0,0,1,0,1,0,0,1,0,100640101,4
0,0,INT,1,0,0,2,0,50,1,1,3,0,0,998159,0,0,4,50,4,0,8097,1,0,2,0,1,0,0,0,1,100640101,4
0,1,RR,0,0,0,4,0,100,3,1,5,2,0,998164,0,0,63,75,4,0,8097,1,0,3,0,3,0,0,0,1,100640101,4
0,0,R,0,0,0,0,0,0,0,0,0,0,0,1001684,0,0,80,0,4,2,8097,0,0,0,0,0,0,0,0,0,100640101,4
