marksInside50,handballs,positionCode,clangers,hitoutsToAdvantage,penalty50sAgainst,disposals,goalAssists,kickEfficiency,kicksEffective,marksUncontested,tackles,freesFor,behinds,playerId,goals,inside50s,jumperNumber,disposalEfficiency,period,blocks,squadId,marks,hitouts,kicks,marksContested,possessionsContested,freesAgainst,clearances,kicksIneffective,possessionsUncontested,matchId,periodId
0,1,FF,1,0,0,2,0,100,1,0,0,0,0,296143,0,0,93,50,1,0,8096,0,0,1,0,3,1,0,0,0,100640101,1
0,1,RK,0,0,0,3,1,100,2,1,0,0,0,296158,0,0,140,67,1,0,8096,1,0,2,0,2,0,1,0,1,100640101,1
0,0,HFF,0,0,0,0,0,0,0,0,0,0,0,997662,0,0,14,0,1,0,8096,0,0,0,0,0,0,0,0,0,100640101,1
0,0,FB,0,0,0,3,0,100,3,0,0,1,0,997663,2,0,9,100,1,0,8096,0,0,3,0,2,0,1,0,1,100640101,1
0,1,EMERG,0,0,0,1,0,0,0,0,1,0,0,997664,0,0,104,100,1,0,8096,0,0,0,0,2,0,1,0,0,100640101,1
0,0,BP,3,0,0,0,0,0,0,0,4,0,0,997678,0,0,20,0,1,0,8096,0,0,0,0,0,3,0,0,0,100640101,1
0,1,HBF,0,0,0,1,0,0,0,0,0,0,0,997695,0,0,15,100,1,0,8096,0,0,0,0,0,0,0,0,1,100640101,1
0,0,INT,0,0,0,0,0,0,0,0,0,0,0,997715,0,0,44,0,1,0,8096,0,0,0,0,0,0,0,0,0,100640101,1
0,2,R,0,0,0,3,0,100,1,1,0,0,0,998154,1,0,39,67,1,0,8096,1,0,1,0,2,0,0,0,1,100640101,1
0,0,BP,1,0,0,5,0,60,3,1,0,0,0,1003020,0,1,4,60,1,0,8096,1,0,5,0,0,0,0,1,4,100640101,1
0,0,RR,1,0,0,1,0,100,1,0,2,1,0,1006666,0,0,60,100,1,0,8096,0,0,1,0,1,1,1,0,0,100640101,1
0,0,C,2,0,0,6,0,50,3,1,2,0,0,1006996,0,1,48,50,1,0,8096,1,0,6,0,1,0,0,2,3,100640101,1
0,0,FP,0,0,0,1,0,0,0,0,3,0,0,1007003,0,0,180,0,1,0,8096,0,7,1,0,0,0,0,1,1,100640101,1
0,1,HBF,0,0,0,1,0,0,0,0,0,0,0,1007012,0,0,14,100,1,0,8096,0,0,0,0,1,0,0,0,0,100640101,1
0,1,INT,0,0,0,1,0,0,0,0,2,0,0,1007016,0,0,8,100,1,0,8096,0,0,0,0,1,0,0,0,0,100640101,1
0,1,HFF,1,0,0,1,0,0,0,0,1,0,0,1007017,0,0,72,100,1,0,8096,0,0,0,0,0,1,0,0,1,100640101,1
0,1,INT,0,0,0,1,0,0,0,1,1,0,0,1007023,0,0,80,100,1,0,8096,1,3,0,0,0,0,0,0,1,100640101,1
0,0,FP,0,0,0,0,0,0,0,0,0,0,0,1007025,0,0,32,0,1,0,8096,0,0,0,0,0,0,0,0,0,100640101,1
0,0,CHB,2,0,0,1,0,100,1,0,2,0,0,1007026,0,2,18,100,1,0,8096,0,0,1,0,1,1,0,0,0,100640101,1
0,0,EMERG,0,0,0,0,0,0,0,0,0,0,0,1007133,0,0,27,0,1,0,8096,0,0,0,0,0,0,0,0,0,100640101,1
0,1,INT,0,0,0,1,0,0,0,0,0,0,0,1007135,0,0,46,100,1,0,8096,0,0,0,0,0,0,0,0,1,100640101,1
0,3,CHF,0,0,0,3,0,0,0,0,2,0,0,1007137,0,0,60,33,1,0,8096,0,0,0,0,2,0,0,0,1,100640101,1
1,1,FP,0,0,0,3,0,100,2,0,1,1,0,296154,1,1,86,100,1,0,8097,1,0,2,1,2,0,0,0,1,100640101,1
0,2,CHF,0,0,0,2,0,0,0,0,0,0,0,997672,0,0,23,100,1,0,8097,0,0,0,0,2,0,0,0,0,100640101,1
0,0,INT,1,0,0,0,0,0,0,0,0,0,0,997680,0,0,6,0,1,0,8097,0,0,0,0,0,0,0,0,0,100640101,1
0,1,FF,0,0,0,4,0,0,0,0,1,2,0,997683,0,0,190,25,1,0,8097,0,0,3,0,4,0,2,3,0,100640101,1
0,0,HFF,0,0,0,4,0,100,4,1,2,0,0,997688,0,2,100,100,1,0,8097,1,1,4,0,1,0,0,0,2,100640101,1
0,0,C,2,0,0,3,0,33,1,1,2,1,0,997729,0,0,40,33,1,0,8097,1,0,3,0,1,1,0,1,2,100640101,1
0,2,BP,0,0,0,2,0,0,0,0,4,0,0,998029,0,0,6,50,1,0,8097,0,0,0,0,0,0,0,0,2,100640101,1
0,0,EMERG,0,0,0,3,0,0,0,0,1,0,0,998048,0,0,132,0,1,0,8097,0,0,3,0,2,0,1,3,1,100640101,1
0,0,HBF,0,0,0,3,0,67,2,1,1,1,1,998158,0,0,51,67,1,0,8097,1,0,3,0,2,0,1,1,1,100640101,1
0,0,INT,0,0,0,1,0,0,0,0,0,0,1,998159,0,0,2,0,1,0,8097,0,0,1,0,0,0,0,1,2,100640101,1
0,0,RR,1,0,0,1,0,100,1,1,0,0,0,998164,0,0,63,100,1,0,8097,1,0,1,0,1,1,0,0,1,100640101,1
0,0,R,0,0,0,0,0,0,0,0,0,0,0,1001684,0,0,40,0,1,0,8097,0,0,0,0,0,0,0,0,0,100640101,1
0,0,RK,0,0,0,0,0,0,0,0,0,0,0,1001686,0,0,360,0,1,0,8097,0,10,0,0,0,0,0,0,0,100640101,1
1,1,FB,1,0,0,4,0,67,2,0,2,1,0,1004400,0,0,12,75,1,0,8097,1,0,3,1,3,0,0,0,1,100640101,1
0,0,BP,2,0,0,2,0,50,1,0,3,0,0,1004401,0,0,15,50,1,0,8097,0,0,2,0,2,0,1,0,0,100640101,1
0,0,EMERG,0,0,0,1,0,100,1,0,0,1,0,1005864,0,0,54,100,1,0,8097,0,0,1,0,1,0,0,0,0,100640101,1
0,1,INT,0,0,0,1,0,0,0,0,1,0,0,1006649,0,0,33,0,1,0,8097,0,0,0,0,1,0,0,0,0,100640101,1
0,0,HBF,0,0,0,0,0,0,0,0,1,0,0,1006990,0,0,21,0,1,0,8097,0,0,0,0,0,0,0,0,0,100640101,1
0,1,CHB,1,0,0,2,0,100,1,1,1,0,0,1007015,0,0,36,50,1,0,8097,1,0,1,0,1,0,0,0,1,100640101,1
0,0,FP,1,0,0,2,0,0,0,2,2,0,0,1007024,0,1,104,0,1,0,8097,2,0,2,0,0,0,0,1,2,100640101,1
0,1,INT,0,0,0,2,0,0,0,0,1,0,0,1007027,0,0,72,50,1,0,8097,0,0,1,0,1,0,0,1,1,100640101,1
0,1,HFF,0,0,0,1,0,0,0,0,0,0,0,1007139,0,0,44,100,1,0,8097,1,0,0,1,1,0,0,0,0,100640101,1
