period,scorepoints,periodSeconds,squadId,playerId,scoreName,matchId,scoreFlowId
1,4,1537,9266,1025273,try,117150101,117150101_1
1,0,1619,9266,1025266,conversion miss,117150101,117150101_1
1,4,1898,9266,1025222,try,117150101,117150101_1
1,0,1993,9266,1025266,conversion miss,117150101,117150101_1
2,4,816,9266,1025273,try,117150101,117150101_1
2,2,931,9266,1025266,conversion,117150101,117150101_1
2,4,1596,9269,1025355,try,117150101,117150101_1
2,2,1662,9269,1025335,conversion,117150101,117150101_1
2,4,2066,9269,1025352,try,117150101,117150101_1
2,2,2119,9269,1025335,conversion,117150101,117150101_1
2,4,2390,9266,1025265,try,117150101,117150101_1
2,2,2467,9266,1025266,conversion,117150101,117150101_1
