rebounds,penalties,gain,offensiveRebounds,blocked,passes,goalAssists,tossUpWin,centrePassReceives,obstructionPenalties,feeds,playerId,goals,offsides,badPasses,period,defensiveRebounds,breaks,blocks,badHands,missedGoalTurnover,squadId,startingPositionCode,goalAttempts,goalAttempts3,deflections,goalAttempts2,goalAttempts1,contactPenalties,goalMisses1,goalMisses2,quartersPlayed,goalMisses3,minutesPlayed,turnovers,pickups,goals1,currentPositionCode,goals3,intercepts,goals2,matchId,periodId
2,0,0,2,0,1,0,0,0,0,1,80052,0,0,0,4,0,0,0,0,0,880,GS,3,3,2,0,0,0,0,0,1,3,6,1,0,0,GS,0,0,0,100130203,4
0,0,0,0,0,0,0,0,1,0,0,80067,0,0,0,4,0,0,0,0,0,880,I,1,0,0,1,0,0,0,1,1,0,3,1,0,0,I,0,0,0,100130203,4
1,0,0,1,0,1,0,0,1,0,1,80072,0,0,0,4,0,0,0,0,0,880,I,4,4,0,0,0,0,0,0,1,4,4,2,0,0,GA,0,0,0,100130203,4
0,1,0,0,0,0,0,0,0,1,0,80343,0,0,0,4,0,0,0,0,0,880,GK,0,0,0,0,0,0,0,0,1,0,5,0,0,0,GD,0,0,0,100130203,4
0,2,1,0,0,0,0,0,0,1,0,80440,0,0,0,4,0,0,0,0,0,880,GD,0,0,1,0,0,1,0,0,1,0,6,0,0,0,GK,0,1,0,100130203,4
0,0,0,0,0,4,0,0,0,0,2,80574,0,0,0,4,0,0,0,0,0,880,I,0,0,0,0,0,0,0,0,1,0,3,0,0,0,I,0,0,0,100130203,4
0,1,0,0,0,0,0,0,1,0,0,80577,0,0,0,4,0,0,0,0,0,880,I,0,0,0,0,0,1,0,0,1,0,3,0,0,0,I,0,0,0,100130203,4
1,0,0,1,0,3,0,0,0,0,3,991901,0,0,0,4,0,0,0,0,0,880,C,0,0,0,0,0,0,0,0,1,0,3,1,1,0,C,0,0,0,100130203,4
0,0,0,0,0,3,0,0,0,0,2,992954,0,0,0,4,0,0,0,0,0,880,I,0,0,0,0,0,0,0,0,1,0,2,0,0,0,I,0,0,0,100130203,4
0,0,0,0,0,0,0,0,0,0,0,993463,0,0,0,4,0,0,0,0,0,880,GA,0,0,0,0,0,0,0,0,1,0,1,0,0,0,I,0,0,0,100130203,4
0,0,0,0,0,0,0,0,1,0,0,80100,3,0,0,4,0,0,0,0,0,881,GA,5,3,0,1,1,0,0,0,1,2,6,1,0,1,GS,1,0,1,100130203,4
0,1,0,0,0,0,0,0,0,0,0,80225,0,0,0,4,0,0,0,0,0,881,GD,0,0,0,0,0,1,0,0,1,0,3,0,0,0,I,0,0,0,100130203,4
0,1,0,0,0,3,1,0,0,0,3,80287,1,0,0,4,0,0,0,0,0,881,I,1,0,1,1,0,1,0,0,1,0,5,0,0,0,I,0,0,1,100130203,4
0,0,0,0,0,1,0,0,0,0,1,80477,0,0,0,4,0,0,0,0,0,881,I,0,0,0,0,0,0,0,0,1,0,1,0,0,0,I,0,0,0,100130203,4
0,2,0,0,0,0,0,0,0,2,0,80478,0,0,0,4,0,0,0,0,0,881,GK,0,0,0,0,0,0,0,0,1,0,6,1,1,0,GD,0,0,0,100130203,4
0,1,0,0,0,3,1,0,0,1,3,80582,0,0,0,4,0,0,0,0,0,881,I,0,0,0,0,0,0,0,0,1,0,3,0,0,0,I,0,0,0,100130203,4
0,0,0,0,0,0,0,0,0,0,0,80710,0,0,0,4,0,0,0,0,0,881,GS,0,0,0,0,0,0,0,0,1,0,1,0,0,0,I,0,0,0,100130203,4
0,2,0,0,0,0,0,0,0,1,0,993041,0,1,0,4,0,0,0,0,0,881,I,0,0,1,0,0,1,0,0,1,0,5,0,0,0,GK,0,0,0,100130203,4
0,1,0,0,0,4,1,0,0,1,3,994117,0,0,0,4,0,0,0,0,0,881,C,0,0,0,0,0,0,0,0,1,0,4,0,0,0,C,0,0,0,100130203,4
0,0,0,0,0,0,0,0,0,0,0,1003470,0,0,0,4,0,0,0,0,0,881,I,0,0,0,0,0,0,0,0,1,0,2,0,0,0,GA,0,0,0,100130203,4
