marksInside50,handballs,clangers,hitoutsToAdvantage,penalty50sAgainst,disposals,goalAssists,kickEfficiency,kicksEffective,marksUncontested,tackles,freesFor,behinds,playerId,goals,inside50s,disposalEfficiency,blocks,squadId,marks,hitouts,kicks,marksContested,possessionsContested,freesAgainst,clearances,kicksIneffective,possessionsUncontested,shortDisplayName,jumperNumber,positionName,firstname,positionId,surname,displayName,positionCode,squadName,homeId,awayId,opponent,round,fixtureId,sportId,matchId
0,6,2,0,0,21,0,80,12,5,4,0,0,240072,0,1,86,0,160,9,0,15,4,8,0,0,1,12,"Grundy, H",39,Full Back,Heath,2,Grundy,H.Grundy,FB,Sydney Swans,160,140,Western Bulldogs,27,9835,1,98350401
0,15,4,0,0,22,0,29,2,2,6,0,0,290117,0,1,64,0,160,2,0,7,0,10,1,1,3,13,"Hannebery, D",4,Ruck Rover,Dan,17,Hannebery,D.Hannebery,RR,Sydney Swans,160,140,Western Bulldogs,27,9835,1,98350401
0,9,4,0,0,22,0,69,9,6,4,1,0,298539,0,5,64,0,160,6,0,13,0,7,1,3,2,15,"Heeney, I",5,Rover,Isaac,18,Heeney,I.Heeney,R,Sydney Swans,160,140,Western Bulldogs,27,9835,1,98350401
0,4,2,0,0,11,1,57,4,0,4,2,0,294036,1,2,64,0,160,0,0,7,0,3,0,1,2,8,"Hewett, G",29,Interchange,George,21,Hewett,G.Hewett,INT,Sydney Swans,160,140,Western Bulldogs,27,9835,1,98350401
2,12,1,0,0,22,3,50,5,4,3,1,2,240226,0,4,59,0,160,5,0,10,1,12,1,4,5,10,"Jack, K",15,Wing,Kieren,7,Jack,K.Jack,W,Sydney Swans,160,140,Western Bulldogs,27,9835,1,98350401
0,10,4,0,0,21,0,73,8,4,3,0,0,991988,0,1,86,0,160,4,0,11,0,8,3,3,2,14,"Jones, Z",10,Half Back Flank,Zak,4,Jones,Z.Jones,HBF,Sydney Swans,160,140,Western Bulldogs,27,9835,1,98350401
1,20,2,0,0,34,0,57,8,5,6,0,0,260382,3,6,68,0,160,5,0,14,0,17,0,6,4,18,"Kennedy, JP",12,Centre,Josh P.,8,Kennedy,J.Kennedy,C,Sydney Swans,160,140,Western Bulldogs,27,9835,1,98350401
0,5,1,0,1,9,0,25,1,1,6,0,0,270899,0,1,67,3,160,3,0,4,2,5,0,0,3,5,"Laidler, J",11,Centre Half Back,Jeremy,5,Laidler,J.Laidler,CHB,Sydney Swans,160,140,Western Bulldogs,27,9835,1,98350401
0,9,1,0,0,21,0,92,11,5,2,0,0,295342,0,3,86,1,160,5,0,12,0,6,1,0,1,17,"Lloyd, J",44,Back Pocket,Jake,1,Lloyd,J.Lloyd,BP,Sydney Swans,160,140,Western Bulldogs,27,9835,1,98350401
1,2,1,0,0,9,0,57,4,5,5,0,1,230140,0,0,67,0,160,5,0,7,0,1,0,2,3,8,"McGlynn, B",21,Forward Pocket,Ben,15,McGlynn,B.McGlynn,FP,Sydney Swans,160,140,Western Bulldogs,27,9835,1,98350401
0,6,2,0,1,14,0,100,8,2,3,0,0,230253,0,1,86,0,160,2,0,8,0,4,1,0,0,8,"McVeigh, J",3,Wing,Jarrad,9,McVeigh,J.McVeigh,W,Sydney Swans,160,140,Western Bulldogs,27,9835,1,98350401
0,9,3,0,0,15,0,83,5,3,5,0,0,993905,0,0,80,0,160,3,0,6,0,5,1,0,1,11,"Mills, C",14,Interchange,Callum,20,Mills,C.Mills,INT,Sydney Swans,160,140,Western Bulldogs,27,9835,1,98350401
1,13,5,0,0,26,0,69,9,4,13,0,0,291856,2,3,62,0,160,4,0,13,0,10,0,2,1,14,"Mitchell, T",6,Interchange,Tom,19,Mitchell,T.Mitchell,INT,Sydney Swans,160,140,Western Bulldogs,27,9835,1,98350401
0,8,2,7,0,13,0,80,4,3,2,1,0,298144,0,1,85,1,160,3,21,5,0,7,2,2,1,7,"Naismith, S",35,Ruck,Sam,16,Naismith,S.Naismith,RK,Sydney Swans,160,140,Western Bulldogs,27,9835,1,98350401
0,7,3,0,0,15,1,38,3,2,5,1,1,996765,0,3,60,0,160,2,0,8,0,9,0,0,2,7,"Papley, T",41,Forward Pocket,Tom,13,Papley,T.Papley,FP,Sydney Swans,160,140,Western Bulldogs,27,9835,1,98350401
1,10,5,1,0,19,1,56,5,1,9,1,0,290778,1,2,68,0,160,1,4,9,0,9,3,5,3,10,"Parker, L",26,Half Forward Flank,Luke,12,Parker,L.Parker,HFF,Sydney Swans,160,140,Western Bulldogs,27,9835,1,98350401
0,7,3,0,0,24,0,94,16,10,4,0,0,290307,0,1,96,1,160,11,0,17,1,4,2,0,1,19,"Rampe, D",24,Half Back Flank,Dane,6,Rampe,D.Rampe,HBF,Sydney Swans,160,140,Western Bulldogs,27,9835,1,98350401
1,4,2,0,0,10,0,50,3,4,0,0,0,293739,0,1,70,0,160,4,0,6,0,2,0,0,1,8,"Richards, X",42,Interchange,Xavier,22,Richards,X.Richards,INT,Sydney Swans,160,140,Western Bulldogs,27,9835,1,98350401
0,2,4,0,0,5,0,33,1,1,6,0,0,291357,1,0,40,0,160,2,0,3,1,3,3,0,1,3,"Rohan, G",16,Half Forward Flank,Gary,10,Rohan,G.Rohan,HFF,Sydney Swans,160,140,Western Bulldogs,27,9835,1,98350401
0,3,4,0,1,13,0,60,6,2,2,0,0,250338,1,0,69,1,160,4,0,10,2,4,0,0,1,9,"Smith, N",40,Back Pocket,Nick,3,Smith,N.Smith,BP,Sydney Swans,160,140,Western Bulldogs,27,9835,1,98350401
1,6,2,4,0,10,0,50,2,1,2,0,1,270742,0,2,80,1,160,3,17,4,2,7,0,2,1,4,"Tippett, K",8,Full Forward,Kurt,14,Tippett,K.Tippett,FF,Sydney Swans,160,140,Western Bulldogs,27,9835,1,98350401
