marksInside50,handballs,clangers,hitoutsToAdvantage,penalty50sAgainst,disposals,goalAssists,kickEfficiency,kicksEffective,marksUncontested,tackles,freesFor,behinds,playerId,goals,inside50s,disposalEfficiency,period,blocks,squadId,marks,hitouts,kicks,marksContested,possessionsContested,freesAgainst,clearances,kicksIneffective,possessionsUncontested,matchId,periodId
0,3,1,0,0,7,0,75,3,2,2,1,0,220010,0,0,86,2,0,140,3,0,4,1,3,0,1,0,3,98350401,2
0,1,0,0,0,1,0,0,0,0,0,0,0,250712,0,0,100,2,0,140,0,0,0,0,0,0,0,0,1,98350401,2
0,3,0,0,0,5,0,50,1,0,1,0,0,271439,1,0,60,2,0,140,0,0,2,0,2,0,0,1,3,98350401,2
0,1,0,1,0,2,0,0,0,0,3,0,0,280012,0,1,0,2,0,140,0,7,1,0,2,0,0,1,0,98350401,2
0,2,1,0,0,5,0,67,2,3,1,0,0,281139,0,0,80,2,0,140,3,0,3,0,0,1,0,1,5,98350401,2
0,5,1,0,0,8,0,0,0,1,2,0,0,290799,0,1,38,2,0,140,1,0,3,0,5,0,3,3,3,98350401,2
0,2,1,0,0,5,0,33,1,0,1,0,0,291526,0,1,60,2,0,140,0,0,3,0,2,0,0,1,3,98350401,2
0,1,0,0,0,3,0,100,2,1,0,0,0,291814,0,0,67,2,0,140,2,0,2,1,2,0,0,0,1,98350401,2
0,1,0,0,0,3,0,100,2,0,3,0,0,293847,0,0,67,2,0,140,0,0,2,0,1,0,0,0,1,98350401,2
0,0,3,0,0,3,0,33,1,0,0,0,0,293884,0,1,33,2,0,140,0,0,3,0,0,0,0,0,4,98350401,2
0,1,3,0,0,8,0,57,4,2,0,0,0,294101,0,2,62,2,0,140,3,0,7,1,2,0,0,0,6,98350401,2
0,4,1,0,0,6,1,100,2,1,1,0,0,294557,0,1,83,2,1,140,1,0,2,0,3,0,0,0,3,98350401,2
0,1,0,0,0,3,0,100,2,2,4,0,0,295136,0,0,100,2,0,140,2,0,2,0,1,0,0,0,2,98350401,2
0,2,0,0,0,3,0,100,1,2,0,0,0,295222,0,0,100,2,1,140,3,0,1,1,1,0,0,0,2,98350401,2
0,4,0,0,0,5,0,100,1,1,1,0,0,295467,0,0,100,2,1,140,1,0,1,0,2,0,1,0,3,98350401,2
0,1,1,0,0,5,0,75,3,1,1,0,0,295608,0,0,80,2,0,140,1,0,4,0,2,0,0,0,3,98350401,2
0,2,1,0,0,4,0,50,1,0,1,0,0,295712,1,0,75,2,0,140,0,0,2,0,2,0,0,0,2,98350401,2
2,1,0,0,0,3,0,100,2,1,0,0,0,296367,2,0,100,2,0,140,2,4,2,1,1,0,0,0,2,98350401,2
0,2,0,1,0,6,2,100,4,1,3,1,0,297373,0,2,100,2,0,140,1,2,4,0,3,0,2,0,3,98350401,2
0,1,0,0,0,1,0,0,0,0,1,0,0,991939,0,0,0,2,0,140,0,0,0,0,0,0,0,0,1,98350401,2
0,0,0,0,0,4,0,75,3,2,2,0,0,993834,0,2,75,2,0,140,2,0,4,0,1,0,0,1,3,98350401,2
0,0,0,0,0,2,0,100,2,0,1,1,0,996483,1,1,100,2,0,140,0,0,2,0,2,0,0,0,0,98350401,2
0,0,0,0,0,1,0,100,1,1,1,0,0,230140,0,0,100,2,0,160,1,0,1,0,0,0,1,0,1,98350401,2
0,0,0,0,0,2,0,100,2,1,1,0,0,230253,0,0,100,2,0,160,1,0,2,0,0,0,0,0,1,98350401,2
0,0,1,0,0,5,0,80,4,3,1,0,0,240072,0,1,80,2,0,160,4,0,5,1,2,0,0,0,3,98350401,2
1,6,1,0,0,9,2,33,1,1,0,0,1,240226,0,1,67,2,0,160,1,0,3,0,4,1,3,2,5,98350401,2
0,3,0,0,0,3,0,0,0,0,3,0,0,240399,0,0,67,2,0,160,0,0,0,0,2,0,0,0,2,98350401,2
0,1,1,0,1,3,0,100,2,0,0,0,0,250338,1,0,100,2,0,160,1,0,2,1,2,0,0,0,1,98350401,2
0,6,1,0,0,12,0,50,3,0,1,0,0,260382,2,3,67,2,0,160,0,0,6,0,6,0,2,2,6,98350401,2
0,1,0,1,0,1,0,0,0,0,1,0,0,270742,0,0,100,2,1,160,1,7,0,1,2,0,0,0,0,98350401,2
0,0,0,0,0,0,0,0,0,0,1,0,0,270899,0,0,0,2,1,160,0,0,0,0,0,0,0,0,0,98350401,2
0,11,2,0,0,13,0,0,0,1,1,0,0,290117,0,0,62,2,0,160,1,0,2,0,6,0,0,1,7,98350401,2
0,2,0,0,0,4,0,50,1,2,3,0,0,290307,0,1,75,2,1,160,2,0,2,0,0,0,0,1,4,98350401,2
0,3,0,0,0,4,1,100,1,0,2,0,0,290778,0,1,100,2,0,160,0,0,1,0,1,0,1,0,3,98350401,2
0,0,2,0,0,2,0,50,1,0,1,0,0,291357,1,0,50,2,0,160,0,0,2,0,0,1,0,0,2,98350401,2
1,5,3,0,0,14,0,78,7,3,3,0,0,291856,2,2,64,2,0,160,3,0,9,0,4,0,1,0,9,98350401,2
0,0,1,0,0,1,0,0,0,0,0,0,0,293739,0,1,0,2,0,160,0,0,1,0,0,0,0,0,1,98350401,2
0,0,0,0,0,2,1,50,1,0,0,0,0,294036,0,0,50,2,0,160,0,0,2,0,0,0,0,1,2,98350401,2
0,1,0,0,0,2,0,100,1,1,2,0,0,295342,0,0,50,2,0,160,1,0,1,0,2,0,0,0,1,98350401,2
0,2,0,1,0,3,0,100,1,0,1,0,0,298144,0,1,67,2,0,160,0,6,1,0,2,0,1,0,2,98350401,2
0,5,1,0,0,7,0,100,2,1,2,0,0,298539,0,1,86,2,0,160,1,0,2,0,4,0,3,0,4,98350401,2
0,1,1,0,0,5,0,75,3,0,0,0,0,991988,0,1,80,2,0,160,0,0,4,0,3,1,2,1,2,98350401,2
0,1,1,0,0,1,0,0,0,0,1,0,0,993905,0,0,0,2,0,160,0,0,0,0,0,0,0,0,1,98350401,2
0,4,1,0,0,7,0,33,1,0,0,1,0,996765,0,1,57,2,0,160,0,0,3,0,5,0,0,1,2,98350401,2
