tries,runsDummyHalfMetres,sinBins,onReports,runsHitupMetres,tryAssists,ineffectiveTackles,penaltyGoalAttempts,conversionsUnsuccessful,score,possessions,tackleds,kickMetres,kicksGeneralPlay,tackles,incompleteSets,tacklesIneffective,period,handlingErrors,sentOffs,runsDummyHalf,squadId,offloads,bombKicksCaught,runsKickReturn,runsHitup,fieldGoalAttempts,conversionAttempts,penaltiesConceded,tacklesMissed,postContactMetres,position,errors,goalLineDropouts,fortyTwenty,conversions,missedTackles,kicksCaught,metresGained,lineBreaks,tackleBreaks,trySaves,passes,runMetres,lineBreakAssists,runsNormalMetres,scrumWins,runsNormal,runsKickReturnMetres,playerId,jumperNumber,fieldGoals,penaltyGoals,runs,matchId,periodId
0,0,0,0,0,0,0,0,0,0,9,7,0,0,5,1,0,1,0,0,0,8566,0,0,0,5,0,0,1,0,0,Centre,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1019570,4,0,0,7,124570101,1
0,0,0,0,0,0,0,0,0,0,9,6,0,0,2,0,0,1,0,0,0,8566,0,0,0,4,0,0,0,0,0,Wing,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1018245,5,0,0,4,124570101,1
0,0,0,0,0,0,1,1,0,4,9,3,0,0,4,1,1,1,0,0,0,8566,0,0,1,0,0,1,0,0,0,Five-Eighth,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,991256,6,0,1,1,124570101,1
0,0,0,0,0,0,0,0,0,0,18,3,59,5,3,0,0,1,0,0,0,8566,0,0,0,0,0,0,0,0,0,Halfback,0,1,0,0,0,0,59,0,0,0,10,0,0,0,2,2,0,31881,7,0,0,2,124570101,1
0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,1,0,0,0,8566,0,0,1,2,0,0,0,0,0,Interchange,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,995877,8,0,0,3,124570101,1
0,0,0,0,0,0,0,0,0,0,39,3,0,0,10,0,0,1,0,0,4,8566,0,0,0,0,0,0,0,1,0,Hooker,0,0,0,0,1,0,0,0,1,0,36,0,0,0,0,0,0,999917,9,0,0,4,124570101,1
0,0,0,0,0,0,0,0,0,0,9,8,0,0,11,0,0,1,0,0,0,8566,0,0,1,7,0,0,1,0,6,Prop,0,0,0,0,0,0,13,1,3,0,1,13,0,0,0,0,13,1025374,10,0,0,8,124570101,1
0,0,0,0,0,0,1,0,0,0,3,3,0,0,20,0,1,1,0,0,0,8566,0,0,0,2,0,0,1,3,0,Second Row,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1009175,11,0,0,3,124570101,1
0,0,0,0,8,0,0,0,0,0,3,2,0,0,7,0,0,1,0,0,0,8566,0,0,0,2,0,0,0,0,4,Second Row,0,0,0,0,0,0,8,0,0,0,1,8,0,0,0,0,0,31804,12,0,0,2,124570101,1
1,0,0,0,42,0,0,0,0,4,10,5,0,0,12,0,0,1,0,0,0,8566,1,0,0,7,0,0,0,0,4,Lock,0,0,0,0,0,0,42,1,4,0,3,42,1,0,0,1,0,991497,13,0,0,8,124570101,1
0,0,0,0,0,0,1,0,0,0,24,2,0,0,6,0,1,1,0,0,2,8566,0,0,0,0,0,0,0,0,0,Interchange,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,996341,14,0,0,2,124570101,1
0,0,0,0,0,0,0,0,0,0,5,5,0,0,9,0,0,1,0,0,0,8566,0,0,0,5,0,0,0,0,0,Interchange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1024169,15,0,0,6,124570101,1
0,0,0,0,10,0,0,0,0,0,3,3,0,0,6,0,0,1,0,0,0,8566,0,0,0,3,0,0,0,0,2,Prop,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,1024167,16,0,0,3,124570101,1
0,0,0,0,0,0,2,0,0,0,13,3,0,0,5,1,2,1,0,0,1,8566,1,0,0,2,0,0,0,3,0,Interchange,1,0,0,0,3,0,0,0,1,0,8,0,0,0,0,3,0,990750,17,0,0,6,124570101,1
0,0,0,0,0,0,0,0,0,0,16,2,0,1,2,2,0,1,0,0,0,8566,0,0,0,0,0,0,0,0,0,Interchange,2,0,0,0,0,0,0,0,0,0,11,0,0,0,1,2,0,996043,18,0,0,2,124570101,1
0,0,0,0,0,0,1,0,0,0,8,6,0,0,3,1,1,1,0,0,0,8566,0,0,0,6,0,0,1,0,0,Interchange,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1021753,19,0,0,6,124570101,1
0,0,0,0,0,0,1,0,0,0,5,4,0,0,6,0,1,1,0,0,0,8566,0,0,0,4,0,0,0,0,0,Interchange,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1018096,20,0,0,4,124570101,1
