tries,runsDummyHalfMetres,sinBins,onReports,runsHitupMetres,tryAssists,ineffectiveTackles,penaltyGoalAttempts,conversionsUnsuccessful,score,possessions,tackleds,kickMetres,kicksGeneralPlay,tackles,incompleteSets,tacklesIneffective,period,handlingErrors,sentOffs,runsDummyHalf,squadId,offloads,bombKicksCaught,runsKickReturn,runsHitup,fieldGoalAttempts,conversionAttempts,penaltiesConceded,tacklesMissed,postContactMetres,position,errors,goalLineDropouts,fortyTwenty,conversions,missedTackles,kicksCaught,metresGained,lineBreaks,tackleBreaks,trySaves,passes,runMetres,lineBreakAssists,runsNormalMetres,scrumWins,runsNormal,runsKickReturnMetres,playerId,jumperNumber,fieldGoals,penaltyGoals,runs,matchId,periodId
0,0,0,0,0,0,0,0,0,0,11,6,0,0,5,0,0,2,0,0,1,340,3,1,1,1,0,0,0,0,0,Fullback,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,998416,1,0,0,5,124570101,2
0,0,0,0,0,0,0,0,0,0,11,6,0,0,5,0,0,2,0,0,0,340,0,0,0,5,0,0,0,0,0,Wing,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,995794,2,0,0,6,124570101,2
0,0,0,0,0,0,0,0,0,0,10,5,0,0,5,0,0,2,0,0,0,340,0,0,2,2,0,0,0,0,0,Centre,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,1,0,1019546,3,0,0,5,124570101,2
0,0,0,0,0,0,0,0,0,0,8,5,0,0,3,1,0,2,0,0,1,340,0,0,0,2,0,0,1,1,0,Centre,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,2,0,1012925,4,0,0,5,124570101,2
1,0,0,0,0,0,1,0,0,4,4,2,0,0,0,0,1,2,0,0,0,340,0,0,0,1,0,0,0,0,0,Wing,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,1025363,5,0,0,3,124570101,2
0,0,0,0,0,0,0,0,0,0,17,1,0,4,3,1,0,2,0,0,0,340,0,0,0,0,0,0,0,2,0,Five-Eighth,1,0,0,0,2,0,0,0,1,0,11,0,0,0,1,3,0,1019587,6,0,0,3,124570101,2
0,0,0,0,0,1,0,0,0,2,31,4,0,5,13,1,0,2,0,0,0,340,1,0,0,0,0,1,0,0,0,Halfback,1,0,0,1,0,1,0,0,0,0,20,0,1,0,3,4,0,997956,7,0,0,4,124570101,2
0,0,0,0,0,0,0,0,0,0,5,5,0,0,17,0,0,2,0,0,0,340,0,0,1,4,0,0,0,2,0,Prop,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1001180,8,0,0,5,124570101,2
0,0,0,0,0,0,0,0,0,0,29,0,0,0,26,0,0,2,0,0,0,340,0,0,0,0,0,0,0,2,0,Hooker,0,0,0,0,2,0,0,0,0,0,29,0,0,0,0,0,0,991545,9,0,0,0,124570101,2
0,0,0,0,0,0,0,0,0,0,9,6,0,0,11,0,0,2,0,0,0,340,2,0,1,7,0,0,0,2,0,Prop,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,999894,10,0,0,8,124570101,2
